Company Name,Industry,Instrument,Rating,Outlook
20 Microns Limited,Chemicals,Funded Interest Term Loan,CRISIL BB+,Stable
,,Cash Credit Limit,CRISIL BB+,Stable
,,Proposed Long-Term Bank Facility,CRISIL BB+,Stable
,,Long Term Bank Loan,CRISIL BB+,Stable
,,Corporate Loan,CRISIL BB+,Stable
,,Bank Guarantee limit,CRISIL A4+,
,,Foreign Exchange Forwards,CRISIL A4+,
,,Inland/Import Letter of Credit,CRISIL A4+,
20 Microns Nano Minerals Limited,Chemicals,Term Loan Facilities,CRISIL BB+,Stable
,,Cash Credit Limit,CRISIL BB+,Stable
,,Proposed Long-Term Bank Facility,CRISIL BB+,Stable
2Getherments Infra Private Limited,Real Estate Development,Proposed Long-Term Bank Facility,CRISIL B,Stable
3D Technopack Limited,Containers & Packaging,Cash Credit Limit,CRISIL BB,Stable
3F Industries Limited,Food Products,Cash Credit Limit,#,
,,Long Term Bank Loan,#,
,,Proposed Long-Term Bank Facility,#,
,,Letter of Credit Limit,#,
,,Letter of Credit and Bank Guarantee,#,
3G Telecom Infra India Private Limited,Wireless Telecommunication Services,Proposed Cash Credit Limit,#,
,,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
3i Infotech Limited,Software,Cash Credit Limit,CRISIL D,
,,Term Loan Facilities,CRISIL D,
,,Commercial Paper,CRISIL D,
,,Short-Term Loan,CRISIL D,
4 Genius Minds,Trading Companies & Distributors,Cash Credit Limit,CRISIL B-,Stable
4G Identity Solutions Private Limited,Software,Cash Credit Limit,CRISIL D,
,,Proposed Long-Term Bank Facility,CRISIL D,
,,Letter of Credit Limit,CRISIL D,
,,Bank Guarantee limit,CRISIL D,
5 Core Acoustics Private Limited,Household Durables,Proposed Fund-Based Bank Limits,CRISIL BBB-,Stable
,,Cash Credit Limit,CRISIL BBB-,Stable
,,Bill Discounting Facility,CRISIL A3,
,,Packing Credit in Foreign Currency,CRISIL A3,
70 Microns,Chemicals,Cash Credit Limit,CRISIL B+,Stable
,,Term Loan Facilities,CRISIL B+,Stable
9Planets Products Private Limited,Containers & Packaging,Term Loan Facilities,CRISIL D,
,,Cash Credit Limit,CRISIL D,
A AND J Microns Private Limited,Chemicals,Term Loan Facilities,CRISIL B,Stable
,,Cash Credit Limit,CRISIL B,Stable
,,Bank Guarantee limit,CRISIL A4,
A B Chem India,Distributors,Cash Credit Limit,#,
,,Letter of Credit Limit,#,
A B Composites Private Limited,Building Products,Cash Credit Limit,#,
