Company Name,Industry,Instrument,Rating,Outlook
B B M Enterprise,Distributors,Cash Credit Limit,#,
B D Corporates Private Limited,Food Products,Cash Credit Limit,CRISIL B+,Stable
,,Bank Guarantee limit,CRISIL A4,
B E C Chemicals Private Limited,Pharmaceuticals,Packing Credit,CRISIL BBB-,Stable
,,Term Loan Facilities,CRISIL BBB-,Stable
,,Letter of Credit and Bank Guarantee,CRISIL A3,
B Ghose and Co Private Limited,Air Freight & Logistics,Term Loan Facilities,CRISIL BB-,Stable
,,Proposed Long-Term Bank Facility,CRISIL BB-,Stable
,,Cash Credit Limit,CRISIL BB-,Stable
,,Bank Guarantee limit,CRISIL A4+,
B K Infratech Private Limited,Construction & Engineering,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
B K Threshers Private Limited,Tobacco,Long Term Bank Loan,#,
,,Cash Credit Limit,#,
B L A Power Private Limited,Independent Power Producers & Energy Traders,Term Loan Facilities,#,
,,Proposed Long-Term Bank Facility,#,
,,Bank Guarantee limit,#,
B L Foundry Private Limited,Metals & Mining,Drop Line Overdraft Facility,CRISIL B,Stable
,,Proposed Long-Term Bank Facility,CRISIL B,Stable
B L Lifesciences Private Limited,Health Care Equipment & Supplies,Stand by Line of Credit,#,
,,Proposed Long-Term Bank Facility,#,
,,Term Loan Facilities,#,
,,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
,,Letter of Credit Limit,#,
B M Autosales Private Limited,Specialty Retail,Cash Credit Limit,#,
,,Proposed Long-Term Bank Facility,#,
B M Oils Private Limited,Distributors,Proposed Short Term Bank Facility,#,
,,Letter of Credit Limit,#,
B P Agro Industries,Food Products,Cash Credit Limit,#,
B R Agrotech Limited,Chemicals,Cash Credit Limit,#,
,,Letter of Credit Limit,#,
B R Sponge and Power Limited,Metals & Mining,Proposed Long-Term Bank Facility,#,
,,Cash Credit Limit,#,
,,Proposed Cash Credit Limit,#,
B S Progressive Private Limited,Construction Materials,Long Term Bank Loan,CRISIL BBB-,Positive
,,Cash Credit Limit,CRISIL BBB-,Positive
,,Proposed Long-Term Bank Facility,CRISIL BBB-,Positive
,,Letter of Credit Limit,CRISIL A3,
B S Tar Private Limited,Machinery,Cash Credit Limit,#,
,,Stand by Line of Credit,#,
,,Letter of Credit Limit,#,
B and A Packaging India Limited,Containers & Packaging,Proposed Long-Term Bank Facility,CRISIL BBB-,Stable
,,Term Loan Facilities,CRISIL BBB-,Stable
,,Cash Credit Limit,CRISIL BBB-,Stable
,,Letter of Credit Limit,CRISIL A3,
,,Bank Guarantee limit,CRISIL A3,
B&H Texfab Private Limited,Engineering & Capital Goods,Proposed Long-Term Bank Facility,#,
,,Term Loan Facilities,#,
,,Packing Credits,#,
B-One Business House Private Limited,Food Products,Export Packing Credit limits,CRISIL A4+,
B. Arvindkumar and Co.,Engineering & Capital Goods,Post Shipment Credit,CRISIL A4,
B. Braun Medical India Private Limited,Health Care Providers & Services,Over Draft,CRISIL A-,Stable
,,Proposed Long-Term Bank Facility,CRISIL A-,Stable
,,Bank Guarantee limit,CRISIL A2+,
B. D. Agro Products Private Limited,Food Products,Cash Credit Limit,CRISIL B-,Stable
,,Long Term Bank Loan,CRISIL B-,Stable
,,Proposed Fund-Based Bank Limits,CRISIL B-,Stable
B. D. Charitable Educational Society,Diversified Consumer Services,Term Loan Facilities,#,
B. D. Textile Mills Private Limited,Textiles- Apparel & Luxury Goods,Cash Credit Limit,#,
B. Harish and Co.,Distributors,Export Packing Credit limits,#,
,,Foreign Bill Discounting,#,
,,Proposed Short Term Bank Facility,#,
B. I. Fabrics,Engineering & Capital Goods,Term Loan Facilities,CRISIL BB+,Stable
,,Cash Credit Limit,CRISIL BB+,Stable
B. I. Group of Industries,Engineering & Capital Goods,Cash Credit Limit,CRISIL BB+,Stable
B. K. Gears Private Limited,Machinery,Term Loan Facilities,#,
,,Cash Credit Limit,#,
B. K. International Private Limited,Engineering & Capital Goods,Term Loan Facilities,CRISIL BB,Stable
,,Cash Credit Limit,CRISIL BB,Stable
