Company Name,Industry,Instrument,Rating,Outlook
C A V Cotton Mills Private Limited,Textiles- Apparel & Luxury Goods,Cash Credit Limit,#,
,,Proposed Long-Term Bank Facility,#,
,,Long Term Bank Loan,#,
C B AND Sons Constructions Private Limited,Construction & Engineering,Proposed Long-Term Bank Facility,CRISIL B,Stable
C B Ranwade Patil,Construction Materials,Term Loan Facilities,#,
,,Cash Credit Limit,#,
,,Proposed Long-Term Bank Facility,#,
C C A Private Limited,Construction & Engineering,Cash Credit Limit,#,
,,Rupee Term Loans,#,
,,Bank Guarantee limit,#,
C Doctor and Company Private Limited,Construction & Engineering,Cash Credit Limit,#,
,,Letter of Credit Limit,#,
,,Export Performance Guarantee,#,
C H Jewellers Private Limited,Engineering & Capital Goods,Proposed Long-Term Bank Facility,CRISIL BBB-,Negative
,,Cash Credit Limit,CRISIL BBB-,Negative
C I L Textiles Private Limited,Textiles- Apparel & Luxury Goods,Term Loan Facilities,#,
,,Foreign Bill Discounting,#,
,,Foreign Bill Purchase Limit,#,
,,Letter of Credit Limit,#,
,,Export Packing Credit limits,#,
C I Limited,Distributors,Stand by Line of Credit,#,
,,Cash Credit Limit,#,
,,Proposed Long-Term Bank Facility,#,
,,Export Packing Credit,#,
,,Bank Guarantee limit,#,
C J S Specialty Chemicals Private Limited,Distributors,Letter of Credit Limit,CRISIL A3+,
C L Gupta Exports Limited,Household Durables,Term Loan Facilities,#,
,,Stand by Letter of Credit,#,
,,Proposed Long-Term Bank Facility,#,
,,Letter of Credit Limit,#,
,,Packing Credit in Foreign Currency,#,
C L Jain Woollen Mills Private Limited,Textiles- Apparel & Luxury Goods,Cash Credit Limit,#,
,,Proposed Long-Term Bank Facility,#,
,,Letter of Credit Limit,#,
C M Alloys Private Limited,Metals & Mining,Cash Credit Limit,#,
,,Letter of Credit Limit,#,
C M Roy Construction Private Limited,Construction & Engineering,Cash Credit Limit,CRISIL B,Stable
,,Bank Guarantee limit,CRISIL A4,
C M Smith And Sons Limited,Auto Components,Term Loan Facilities,#,
,,Cash Credit Limit,#,
,,Proposed Short Term Bank Facility,#,
C P Ispat Private Limited,Metals & Mining,Cash Credit Limit,CRISIL D,
,,Term Loan Facilities,CRISIL D,
,,Bank Guarantee limit,CRISIL D,
C P R Constructions Private Limited,Real Estate Development,Long Term Bank Loan,CRISIL BB-,Stable
C P Rama Rao,Transportation Infrastructure,Secured Overdraft Facility,CRISIL BB-,Stable
C P Sponge Iron Private Limited,Metals & Mining,Cash Credit Limit,#,
C R Broadcasting Hyderabad Limited,Media,Secured Overdraft Facility,#,
,,Proposed Long-Term Bank Facility,#,
,,Long Term Bank Loan,#,
C and E Limited,Chemicals,Stand by Line of Credit,CRISIL BBB-,Stable
,,Proposed Cash Credit Limit,CRISIL BBB-,Stable
,,Cash Credit Limit,CRISIL BBB-,Stable
,,Inland/Import Letter of Credit,CRISIL A3,
,,Bank Guarantee limit,CRISIL A3,
