Company Name,Industry,Instrument,Rating,Outlook
D A Jhaveri,Engineering & Capital Goods,Packing Credit,CRISIL BB+,Stable
,,Post Shipment Credits,CRISIL BB+,Stable
,,Proposed Long-Term Bank Facility,CRISIL BB+,Stable
,,Cash Credit Limit,CRISIL BB+,Stable
D B Machine Tools Private Limited,Trading Companies & Distributors,Proposed Long-Term Bank Facility,CRISIL BB,Stable
,,Foreign Documentary Bills Purchase,CRISIL A4+,
,,Packing Credits,CRISIL A4+,
D B Malls Private Limited,Real Estate Development,Term Loan Facilities,#,
D C Metals,Trading Companies & Distributors,Cash Credit Limit,CRISIL D,
D D Cotton Private Limited,Distributors,Cash Credit Limit,CRISIL BB+,Stable
D D International,Trading Companies & Distributors,Cash Credit Limit,CRISIL B,Stable
D D International Private Limited,Food Products,Cash Credit Limit,CRISIL BB,Stable
,,Cash Credit - Stock,CRISIL BB,Stable
,,Packing Credit,CRISIL BB,Stable
,,Bill Discounting Facility,CRISIL A4+,
D Decor Home Store LLP,Engineering & Capital Goods,Cash Credit Limit,CRISIL A,Stable
D G Infrastructure Private Limited,Construction & Engineering,Cash Credit Limit,#,
,,Rupee Term Loans,#,
,,Letter of Credit Limit,#,
,,Bank Guarantee limit,#,
D Gem Mount,Textiles- Apparel & Luxury Goods,Cash Credit Limit,#,
,,Standby Line Of Credit,#,
D K Ceramic,Building Products,Term Loan Facilities,CRISIL D,
,,Proposed Long-Term Bank Facility,CRISIL D,
,,Cash Credit Limit,CRISIL D,
,,Bank Guarantee limit,CRISIL D,
D M Fabrics Private Limited,Distributors,Cash Credit Limit,#,
D P Jain And Co Infrastructure Private Limited,Construction & Engineering,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
D R Buildestate Private Limited,Construction & Engineering,Long Term Bank Loan,CRISIL BB,Stable
,,Proposed Long-Term Bank Facility,CRISIL BB,Stable
,,Overdraft Facility,CRISIL A4+,
,,Proposed Bank Guarantee,CRISIL A4+,
,,Bank Guarantee limit,CRISIL A4+,
D R Coats Ink and Resins Private Limited,Chemicals,Term Loan Facilities,CRISIL BB+,Stable
,,Proposed Long-Term Bank Facility,CRISIL BB+,Stable
,,Buyers Credit,CRISIL BB+,Stable
,,Cash Credit Limit,CRISIL BB+,Stable
,,Export Finance Limit,CRISIL A4+,
,,Bank Guarantee limit,CRISIL A4+,
D S Alloyd Private Limited,Metals & Mining,Proposed Working Capital Facility,CRISIL BB+,Stable
,,Cash Credit Limit,CRISIL BB+,Stable
,,Bill Discounting,CRISIL BB+,Stable
,,Letter of Credit Limit,CRISIL A4+,
D S Gupta Construction Private Limited,Commercial Services & Supplies,Proposed Long-Term Bank Facility,#,
,,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
D Thakkar Constructions Private Limited,Construction & Engineering,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
D V S Steels and Alloys Private Limited,Metals & Mining,Cash Credit Limit,#,
,,Proposed Long-Term Bank Facility,#,
,,Buyers Credit,#,
D'Decor Exports Private Limited,Household Durables,Proposed Long-Term Bank Facility,CRISIL A,Stable
,,Term Loan Facilities,CRISIL A,Stable
,,Bill Discounting,CRISIL A,Stable
,,Proposed Cash Credit Limit,CRISIL A,Stable
,,Packing Credits,CRISIL A1,
,,Letter of Credit Limit,CRISIL A1,
,,Overdraft Facility,CRISIL A1,
D-Link India Limited,Electronic Equipment Instruments & Components,Cash Credit & Working Capital demand loan,CRISIL A,Stable
D-Vois Communications PRIVATE LIMITED,Diversified Telecommunication Services,Term Loan Facilities,CRISIL BBB,Stable
D. D. Enterprises (Pune),Machinery,Cash Credit Limit,CRISIL BB,Stable
,,Proposed Cash Credit Limit,CRISIL BB,Stable
,,Bank Guarantee limit,CRISIL A4+,
,,Proposed Bank Guarantee,CRISIL A4+,
D. D. Steel,Metals & Mining,Proposed Long-Term Bank Facility,#,
,,Term Loan Facilities,#,
,,Cash Credit Limit,#,
D. E. C. Infrastructure and Projects India Private Limited,Construction & Engineering,Proposed Bank Guarantee ? Long-Term,CRISIL A-,Stable
,,Cash Credit Limit,CRISIL A-,Stable
,,Bank Guarantee limit,CRISIL A2+,
D. H. Khandelwal Commercial Private Limited,Engineering & Capital Goods,Cash Credit Limit,#,
,,Proposed Long-Term Bank Facility,#,
,,Term Loan Facilities,#,
D. Jamnadas and Co.,Trading Companies & Distributors,Cash Credit Limit,CRISIL B+,Stable
,,Bank Guarantee limit,CRISIL A4,
,,Letter of Credit Limit,CRISIL A4,
D. K. Chauhan,Construction & Engineering,Proposed Long-Term Bank Facility,CRISIL BB-,Stable
,,Cash Credit Limit,CRISIL BB-,Stable
,,Stand by Line of Credit,CRISIL BB-,Stable
,,Bank Guarantee limit,CRISIL A4+,
D. K. Project Private Limited,Construction & Engineering,Proposed Long-Term Bank Facility,#,
,,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
D. M. Cotton Industries,Engineering & Capital Goods,Cash Credit Limit,#,
,,Long Term Bank Loan,#,
D. M. Jewellers,Engineering & Capital Goods,Cash Credit Limit,CRISIL BB,Stable
,,Proposed Long-Term Bank Facility,CRISIL BB,Stable
D. Navinchandra Exports Private Limited,Engineering & Capital Goods,Proposed Long-Term Bank Facility,CRISIL BBB+,Stable
,,Export Packing Credit,CRISIL BBB+,Stable
,,Packing Credits,CRISIL A2,
,,Post Shipment Credit,CRISIL A2,
D. Ratna Exports,Engineering & Capital Goods,Post Shipment Credit,CRISIL A4+,
,,Proposed Short Term Bank Facility,CRISIL A4+,
D. S. Rolling Mills Private Limited,Metals & Mining,Proposed Working Capital Facility,CRISIL BB-,Stable
D. S. Textiles,Textiles- Apparel & Luxury Goods,Term Loan Facilities,#,
,,Proposed Long-Term Bank Facility,#,
,,Bank Guarantee limit,#,
,,Overdraft Facility,#,
D. Vijay Pharma Private Limited,Distributors,Cash Credit Limit,CRISIL B,Stable
,,Proposed Cash Credit Limit,CRISIL B,Stable
D. Y. Patil Education Society,Diversified Consumer Services,Term Loan Facilities,#,
,,Proposed Long-Term Bank Facility,#,
,,Bank Guarantee limit,#,
D.A.R. Paradise,Textiles- Apparel & Luxury Goods,Proposed Long-Term Bank Facility,#,
,,Cash Credit Limit,#,
,,Packing Credits,#,
D.B. Engineering Private Limited,Machinery,Buyers Credit,#,
,,Proposed Long-Term Bank Facility,#,
,,Term Loan Facilities,#,
,,Proposed Term Loan,#,
,,Proposed Bank Guarantee,#,
,,Packing Credits,#,
,,Proposed Short Term Bank Facility,#,
D.C. Gurbaxani,Construction & Engineering,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
D.D.Builders Limited,Construction & Engineering,Cash Credit Limit,CRISIL BB-,Stable
,,Bank Guarantee limit,CRISIL A4+,
D.K. Engineering and Construction Private Limited,Construction & Engineering,Cash Credit Limit,#,
,,Proposed Cash Credit Limit,#,
,,Bank Guarantee limit,#,
,,Proposed Bank Guarantee,#,
D.N. Homes Private Limited,Real Estate Development,Over Draft,CRISIL BB-,Stable
,,Term Loan Facilities,CRISIL BB-,Stable
,,Cash Credit Limit,CRISIL BB-,Stable
,,Proposed Long-Term Bank Facility,CRISIL BB-,Stable
D.P.M.K. Fertilizers Private Limited,Trading Companies & Distributors,Cash Credit Limit,CRISIL B+,Stable
,,Bank Guarantee limit,CRISIL A4,
D.R. Thangamaaligai,Engineering & Capital Goods,Cash Credit Limit,CRISIL B,Stable
,,Proposed Long-Term Bank Facility,CRISIL B,Stable
D.R.B. Commodities India Private Limited,Distributors,Foreign Bill Discounting Limit,CRISIL BB+,Stable
,,Packing Credits,CRISIL A4+,
,,Foreign Exchange Forwards,CRISIL A4+,
D.S. Enterprises,Media,Cash Credit Limit,#,
D.S.P.I. Milk Foods Ltd.,Food Products,Cash Credit Limit,CRISIL BB-,Stable
D.S.R. Infrastructure Private Limited,Real Estate Development,Over Draft,#,
,,Term Loan Facilities,#,
,,Bank Guarantee limit,#,
D.V. Export,Trading Companies & Distributors,Export Packing Credit,CRISIL B+,Stable
D.V. Steel Industries Private Limited,Metals & Mining,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
DARP Construction (J.V.),Real Estate Development,Term Loan Facilities,CRISIL D,
DB Power Electronics Private Limited,Electrical Equipment,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
DBM Geotechnics And Constructions Private Limited,Professional Services,Working Capital Term Loan,CRISIL D,
,,Cash Credit Limit,CRISIL D,
,,Proposed Long-Term Bank Facility,CRISIL D,
,,Funded Interest Term Loan,CRISIL D,
,,Bank Guarantee limit,CRISIL D,
DBR Foods Private Limited,Food Products,Cash Credit Limit,CRISIL B+,Stable
,,Proposed Fund-Based Bank Limits,CRISIL B+,Stable
,,Long Term Bank Loan,CRISIL B+,Stable
DBR Sanjana Krishna Hospitals Private Limited,Health Care Providers & Services,Term Loan Facilities,CRISIL B+,Stable
,,Overdraft Facility,CRISIL A4,
DBS Bank Limited,Banks,Certificate of Deposit,CRISIL A1+,
DC Exports,Engineering & Capital Goods,Cash Credit Limit,CRISIL B+,Stable
,,Proposed Working Capital Facility,CRISIL B+,Stable
,,Bank Guarantee limit,CRISIL A4,
DCB Bank Limited,Banks,Certificate of Deposit,CRISIL A1+,
,,Short Term Deposit,CRISIL A1+,
DCM Limited,Industrial Conglomerates,Bill Discounting,CRISIL BB+,
,,Proposed Long-Term Bank Facility,CRISIL BB+,
,,Term Loan Facilities,CRISIL BB+,
,,Cash Credit Limit,CRISIL BB+,
,,Letter of Credit and Bank Guarantee,CRISIL A4+,
,,Overdraft Facility,CRISIL A4+,
DDN SFA Limited,Food Products,Cash Credit Limit,CRISIL BB-,Stable
,,Term Loan Facilities,CRISIL BB-,Stable
,,Proposed Long-Term Bank Facility,CRISIL BB-,Stable
,,Bank Guarantee limit,CRISIL A4+,
DDecor Properties LLP,Real Estate Development,Term Loan Facilities,CRISIL BB,Stable
