Company Name,Industry,Instrument,Rating,Outlook
E C Blades And Tools Private Limited,Machinery,Term Loan Facilities,#,
,,Cash Credit Limit,#,
,,Stand by Line of Credit,#,
,,Bank Guarantee limit,#,
,,Letter of Credit Limit,#,
E C Bose and Co Private Limited,Road & Rail,Cash Credit Limit,CRISIL D,
,,Bank Guarantee limit,CRISIL D,
E G Pharmaceuticals,Pharmaceuticals,Cash Credit Limit,CRISIL BB-,Stable
,,Letter of Credit Limit,CRISIL A4+,
E I T A India Limited,Road & Rail,Cash Credit Limit,#,
,,Proposed Long-Term Bank Facility,#,
,,Letter of Credit Limit,#,
E Oriental Timbers,Distributors,Cash Credit Limit,#,
,,Proposed Cash Credit Limit,#,
,,Foreign Letter of Credit,#,
E R Automotives Limited,Auto Components,Cash Credit Limit,#,
,,Term Loan Facilities,#,
,,Proposed Long-Term Bank Facility,#,
E to E Transportation Infrastructure Private Limited,Software,Proposed Long-Term Bank Facility,CRISIL BB-,Negative
,,Cash Credit Limit,CRISIL BB-,Negative
,,Bank Guarantee limit,CRISIL A4+,
E-Durables,Household Durables,Cash Credit Limit,CRISIL BBB,Stable
,,Term Loan Facilities,CRISIL BBB,Stable
,,Proposed Long-Term Bank Facility,CRISIL BBB,Stable
,,Letter of Credit Limit,CRISIL A3+,
,,Sales Bill Discounting,CRISIL A3+,
E-Lights Techno Park Private Limited,Real Estate Development,Term Loan Facilities,CRISIL A-,Stable
E-Mall Infotech Private Limited,IT Services,Stand by Line of Credit,#,
,,Cash Credit Limit,#,
,,Proposed Term Loan,#,
,,Term Loan Facilities,#,
,,Bank Guarantee limit,#,
E-Meditek (TPA) Services Limited,Health Care Providers & Services,Proposed Term Loan,CRISIL BBB-,Stable
,,Cash Credit Limit,CRISIL BBB-,Stable
,,Proposed Long-Term Bank Facility,CRISIL BBB-,Stable
,,Bank Guarantee limit,CRISIL A3,
E-Vision,Household Durables,Term Loan Facilities,CRISIL BBB,Stable
,,Proposed Long-Term Bank Facility,CRISIL BBB,Stable
,,Cash Credit Limit,CRISIL BBB,Stable
,,Letter of Credit Limit,CRISIL A3+,
,,Bill Discounting Facility,CRISIL A3+,
E. V. Homes Construction Private Limited,Real Estate Development,Proposed Cash Credit Limit,#,
E.I.D. Parry India Limited,Food Products,Proposed Long-Term Bank Facility,CRISIL AA-,Stable
,,Non Convertible Debenture,CRISIL AA-,Stable
,,Cash Credit Limit,CRISIL AA-,Stable
,,Long Term Bank Loan,CRISIL AA-,Stable
,,Letter of Credit Limit,CRISIL A1+,
,,Bank Guarantee limit,CRISIL A1+,
,,Proposed Bank Guarantee,CRISIL A1+,
,,Short Term Debt (Including Commercial Paper)(ST),CRISIL A1+,
E.M.Electro - Mechanicals Private Limited,Machinery,Cash Credit Limit,CRISIL BB+,Stable
,,Proposed Long-Term Bank Facility,CRISIL BB+,Stable
,,Bank Guarantee limit,CRISIL A4+,
E.S. Knit Wear,Engineering & Capital Goods,Foreign Bill Discounting Limit,CRISIL B+,Stable
,,Term Loan Facilities,CRISIL B+,Stable
,,Working Capital Facility,CRISIL B+,Stable
,,Packing Credits,CRISIL A4,
EAK Automobiles Private Limited,Specialty Retail,Inventory Funding,CRISIL B,Stable
,,Cash Credit Limit,CRISIL B,Stable
,,Long Term Bank Loan,CRISIL B,Stable
,,Proposed Long-Term Bank Facility,CRISIL B,Stable
ECL Finance Limited,Non Banking Financial Company,Non Convertible Debenture,CRISIL AA,Stable
,,Cash Credit Limit,CRISIL AA,Stable
,,Long-Term Bank Facility,CRISIL AA,Stable
,,Proposed Long-Term Bank Facility,CRISIL AA,Stable
,,Subordinated Debt,CRISIL AA,Stable
,,Short Term Debt Issue,CRISIL A1+,
,,Short Term Debt(including Short Term NCD),CRISIL A1+,
,,Short Term Principal Protected Market Linked Debentures,CRISIL PP-MLD A1+r,
,,Principal-Protected Commodity-Linked Debentures,CRISIL PP-MLD AAr,Stable
,,Principal Protected Equity Linked Debentures,CRISIL PP-MLD AAr,Stable
,,Long Term Principal Protected Market Linked Debentures(LT),CRISIL PP-MLD AAr,Stable
ECP Industries Limited,Machinery,Term Loan Facilities,CRISIL BB,Stable
,,Cash Credit Limit,CRISIL BB,Stable
,,Proposed Long-Term Bank Facility,CRISIL BB,Stable
,,Bank Guarantee limit,CRISIL A4+,
,,Letter of Credit Limit,CRISIL A4+,
ECR Buildtech Private Limited,Construction & Engineering,Term Loan Facilities,CRISIL BB,Stable
ECap Equities Limited,Non Banking Financial Company,Short Term Debt,CRISIL A1+,
EDAC Engineering Limited,Electrical Equipment,Bank Guarantee,#,
,,Cash Credit Limit,#,
,,Term Loan Facilities,#,
,,Bank Guarantee limit,#,
EEL India Private Limited,Machinery,Packing Credit,#,
,,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
EFD Induction Private Limited,Machinery,Term Loan Facilities,CRISIL BBB-,Negative
,,Cash Credit Limit,CRISIL BBB-,Negative
,,Bank Guarantee limit,CRISIL A3,
EL-TE Marine Products,Food Products,Packing Credit,CRISIL B+,Stable
,,Post Shipment Credit,CRISIL A4,
EMAAR Developers And Builders Private Limited,Real Estate Development,Project Term Loan,CRISIL B+,Stable
EMC Super Speciality Hospitals Private Limited,Health Care Providers & Services,Proposed Long-Term Bank Facility,#,
,,Term Loan Facilities,#,
,,Cash Credit Limit,#,
EMMKAE Trading Corporation Private Limited,Trading Companies & Distributors,Foreign Bill Purchase Limit,#,
,,Foreign Bill Discounting,#,
EMS and Exports,Household Durables,Cash Credit Limit,CRISIL BBB-,Stable
,,Proposed Fund-Based Bank Limits,CRISIL BBB-,Stable
,,Packing Credit in Foreign Currency,CRISIL A3,
,,Bill Discounting Facility,CRISIL A3,
EMT Megatherm Private Limited,Machinery,Term Loan Facilities,#,
,,Cash Credit Limit,#,
,,Proposed Long-Term Bank Facility,#,
,,Letter of Credit Limit,#,
,,Bank Guarantee limit,#,
EPC Industrie Limited,Construction & Engineering,Cash Credit Limit,CRISIL A+,Stable
,,Proposed Long-Term Bank Facility,CRISIL A+,Stable
,,Bank Guarantee limit,CRISIL A1,
EPP Composites Private Limited,Machinery,Term Loan Facilities,CRISIL BB,Stable
,,Cash Credit Limit,CRISIL BB,Stable
ER. Umakant Goel Memorial Education Society,Diversified Consumer Services,Term Loan Facilities,#,
ERA Infrastructure India Limited,Construction & Engineering,Rupee Term Loans,#,
ESAF Microfinance and Investments Private Limited,Non Banking Financial Company,Structured Debt Obligation,CRISIL BBB(SO),
,,Structured Debt Obligation,CRISIL BBB+(SO),
,,Structured Debt Obligation,Provisional CRISIL BBB(SO),
ESBI Glasses Private Limited,Distributors,Term Loan Facilities,#,
,,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
,,Letter of Credit Limit,#,
ESDS Software Solution Private Limited,IT Services,Cash Credit Limit,CRISIL BB-,Stable
,,Foreign Currency Term Loan,CRISIL BB-,Stable
,,Proposed Long-Term Bank Facility,CRISIL BB-,Stable
,,Bank Guarantee limit,CRISIL A4+,
ESES BIO-WEALTH PRIVATE LIMITED,Building Products,Long Term Bank Loan,CRISIL B-,Stable
,,Proposed Term Loan,CRISIL B-,Stable
ESGI Garments Private Limited,Engineering & Capital Goods,Cash Credit Limit,CRISIL B-,Stable
,,Packing Credit,CRISIL B-,Stable
,,Term Loan Facilities,CRISIL B-,Stable
,,Foreign Bill Purchase Limit,CRISIL A4,
,,Proposed Short Term Bank Facility,CRISIL A4,
ESS AAR Automotive Private Limited,Distributors,Fund based limits,CRISIL B+,Stable
ESS Ell Cables Company,Electrical Equipment,Cash Credit Limit,CRISIL B,Stable
ESSI Integrated Technologies Private Limited,Commercial Services & Supplies,Cash Credit Limit,CRISIL B,Stable
,,Bank Guarantee limit,CRISIL A4,
ETA Engineering Private Limited,Machinery,Cash Credit Limit,CRISIL D,
,,Letter of Credit and Bank Guarantee,CRISIL D,
,,Proposed Short Term Bank Facility,CRISIL D,
ETA General Private Limited,Household Durables,Cash Credit Limit,CRISIL BBB+,Stable
,,Proposed Long-Term Bank Facility,CRISIL BBB+,Stable
,,Letter of Credit Limit,CRISIL A2,
,,Bank Guarantee limit,CRISIL A2,
ETA Powergen Private Limited,Independent Power Producers & Energy Traders,Long Term Bank Loan,CRISIL D,
,,Proposed Long-Term Bank Facility,CRISIL D,
,,Working Capital Term Loan,CRISIL D,
ETA Star Techcity Private Limited,Real Estate Development,Proposed Long-Term Bank Facility,#,
,,Cash Credit Limit,#,
ETA Technopark Limited,Real Estate Development,Term Loan Facilities,#,
,,Cash Credit,#,
ETC Agro Processing India Private Limited,Food Products,Term Loan Facilities,#,
,,Packing Credit,#,
,,Proposed Long-Term Bank Facility,#,
EURO INDIA FRESH FOODS LIMITED,Food Products,Proposed Long-Term Bank Facility,CRISIL B-,Stable
,,Cash Credit Limit,CRISIL B-,Stable
,,Term Loan Facilities,CRISIL B-,Stable
