Company Name,Industry,Instrument,Rating,Outlook
F. Harley AND Company Private Limited,Machinery,Cash Credit Limit,CRISIL BB,Stable
,,Proposed Long-Term Bank Facility,CRISIL BB,Stable
,,Bill Discounting Facility,CRISIL A4+,
,,Bank Guarantee limit,CRISIL A4+,
,,Inland/Import Letter of Credit,CRISIL A4+,
F. Serajuddin Exports Private Limited,Distributors,Export Packing Credit limits,#,
F. T. Textiles Private Limited,Engineering & Capital Goods,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
FCM Travel Solutions India Private Limited,Hotels Restaurants & Leisure,Working Capital Demand Loan,#,
,,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
FCS Fluoro Carbon Seals Private Limited,Machinery,Open Cash Credit,CRISIL BB,Stable
,,Term Loan Facilities,CRISIL BB,Stable
FCS Software Solutions Limited,IT Services,Export Packing Credit & Export Bills Negotiation/Foreign Bill discounting(ST),CRISIL A4,
,,Bank Guarantee limit,CRISIL A4,
FE India Limited,Distributors,Cash Credit Limit,#,
,,Letter of Credit and Bank Guarantee,#,
,,Letter of Credit Limit,#,
FEMC-Pratibha JV,Construction & Engineering,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
,,Letter of Credit Limit,#,
FG Glass Industries Private Limited,Building Products,Cash Credit Limit,CRISIL BBB-,Stable
,,Long Term Bank Loan,CRISIL BBB-,Stable
,,Letter Of Guarantee,CRISIL A3,
,,Letter of Credit Limit,CRISIL A3,
FINO Finance Pvt Ltd,Microfinance,Subordinated Debt,CRISIL BBB-,Stable
,,Non Convertible Debenture,CRISIL BBB-,Stable
,,Proposed Long-Term Bank Facility,CRISIL BBB-,Stable
FN Infrastructures Private Limited,Real Estate Development,Proposed Long-Term Bank Facility,#,
,,Project Term Loan,#,
FPC Petro Energy Private Limited,Distributors,Cash Credit Limit,CRISIL D,
,,Proposed Cash Credit Limit,CRISIL D,
,,Letter of Credit Limit,CRISIL D,
FSD Building Materials Private Limited,Trading Companies & Distributors,Proposed Long-Term Bank Facility,CRISIL B+,Stable
,,Over Draft,CRISIL B+,Stable
FSN E-Commerce Ventures Private Limited,Internet Software & Services,Cash Credit Limit,CRISIL BB,Stable
Fab India - New Delhi,Construction & Engineering,Proposed Long-Term Bank Facility,CRISIL BB-,Stable
,,Cash Credit Limit,CRISIL BB-,Stable
,,Term Loan Facilities,CRISIL BB-,Stable
,,Bank Guarantee limit,CRISIL A4+,
Fab Trade Private Limited,Distributors,Stand by Line of Credit,#,
,,Cash Credit Limit,#,
,,Proposed Long-Term Bank Facility,#,
,,Letter of Credit Limit,#,
Fab-Tech Works and Constructions Private Limited,Machinery,Cash Credit Limit,CRISIL BBB-,Stable
,,Bank Guarantee limit,CRISIL A3,
Fabindia Overseas Private Limited,Specialty Retail,Cash Credit Limit,CRISIL AA-,Positive
,,Bank Guarantee limit,CRISIL A1+,
Fabjewels Private Limited,Engineering & Capital Goods,Cash Credit Limit,CRISIL BBB,Stable
Fable Food Products Private Limited,Food Products,Proposed Long-Term Bank Facility,#,
,,Cash Credit Limit,#,
,,Term Loan Facilities,#,
Fabmark Exports,Engineering & Capital Goods,Export Packing Credit,CRISIL B,Stable
,,Proposed Long-Term Bank Facility,CRISIL B,Stable
,,Cash Credit Limit,CRISIL B,Stable
,,Bill Purchase,CRISIL A4,
Fabricon,Electrical Equipment,Cash Credit Limit,#,
,,Term Loan Facilities,#,
,,Letter of Credit Limit,#,
Fabrimax Engineering Private Limited,Machinery,Cash Credit Limit,CRISIL B+,Stable
,,Proposed Long-Term Bank Facility,CRISIL B+,Stable
,,Term Loan Facilities,CRISIL B+,Stable
,,Bank Guarantee limit,CRISIL A4,
,,Letter of Credit Limit,CRISIL A4,
Fabrizio Industries Private Limited,Containers & Packaging,Cash Credit Limit,#,
,,Term Loan Facilities,#,
Fabtech Technologies International Limited,Machinery,Cash Credit Limit,CRISIL BBB+,Stable
,,Corporate Loan,CRISIL BBB+,Stable
,,Proposed Long-Term Bank Facility,CRISIL BBB+,Stable
,,Bank Guarantee limit,CRISIL A2,
,,Letter of Credit and Bank Guarantee,CRISIL A2,
Fahim Tanning Company,Textiles- Apparel & Luxury Goods,Term Loan Facilities,#,
,,Cash Credit Limit,#,
,,Letter of Credit Limit,#,
Fair Deal Cars Private Limited,Specialty Retail,Cash Credit Limit,CRISIL BB+,Stable
Fair Deal Food Ventures Private Limited,Food Products,Over Draft,CRISIL BB+,Stable
Fair Exports India Private Limited,Food Products,Term Loan Facilities,#,
,,Export Packing Credit,#,
,,Export Packing Credit limits,#,
,,Bill Discounting Facility,#,
,,Bank Guarantee limit,#,
Fairdeal Agencies Private Limited,Distributors,Cash Credit Limit,CRISIL BB-,Stable
,,Long Term Bank Loan,CRISIL BB-,Stable
,,Overdraft Facility,CRISIL A4+,
Fairdeal Consumer Durables Private Limited,Distributors,Cash Credit Limit,CRISIL B+,Stable
,,Bank Guarantee limit,CRISIL A4,
Fairdeal Filaments Limited,Engineering & Capital Goods,Term Loan Facilities,CRISIL BBB-,Stable
,,Cash Credit Limit,CRISIL BBB-,Stable
,,Bank Guarantee limit,CRISIL A3,
,,Letter of Credit Limit,CRISIL A3,
Fairdeal Steels Private Limited,Distributors,Channel Financing (LT),CRISIL BB-,Stable
,,Cash Credit Limit,CRISIL BB-,Stable
,,Bill Discounting under Letter of Credit,CRISIL A4+,
Fairlie Hotels and Resorts Private Limited,Hotels Restaurants & Leisure,Over Draft,#,
,,Term Loan Facilities,#,
,,FCNR Loan,#,
Fairy Food Products Private Limited,Beverages,Cash Credit Limit,#,
,,Letter of Credit Limit,#,
,,Packing Credits,#,
,,Bill Purchase-Discounting Facility,#,
,,Bank Guarantee limit,#,
Faith Buildtech Private Limited,Real Estate Development,Bank Guarantee limit,CRISIL A4,
Faithful Engineers Private Limited,Auto Components,Working Capital Demand Loan,#,
,,Long Term Bank Loan,#,
,,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
Falcon Business Resources Private Limited,Wireless Telecommunication Services,Secured Overdraft Facility,CRISIL B,Stable
,,Secured Overdraft against term deposits,CRISIL B,Stable
,,Letter of Credit and Bank Guarantee,CRISIL A4,
Falcon Consultancy Private Limited,Real Estate Development,Proposed Long-Term Bank Facility,#,
Falcon Electro-Tek Private Limited,Electronic Equipment Instruments & Components,Long Term Bank Loan,#,
,,Proposed Long-Term Bank Facility,#,
,,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
,,Letter of Credit Limit,#,
Falcon Glass Palace,Distributors,Cash Credit Limit,CRISIL B,Stable
,,Letter of Credit Limit,CRISIL A4,
Falcon Infrastructures Ltd,Air Freight & Logistics,Long Term Bank Loan,#,
,,Cash Credit Limit,#,
,,Proposed Long-Term Bank Facility,#,
Falcon Marine Exports Limited,Food Products,Stand by Line of Credit,CRISIL A,Stable
,,Proposed Long-Term Bank Facility,CRISIL A,Stable
,,Export Packing Credit,CRISIL A,Stable
,,Letter of Credit and Bank Guarantee,CRISIL A1,
,,Post Shipment Credit,CRISIL A1,
Falcon Pumps Private Limited,Machinery,Proposed Long-Term Bank Facility,#,
,,Rupee Term Loans,#,
,,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
Falcon Steels,Metals & Mining,Cash Credit Limit,CRISIL B+,Stable
Family Health Plan (TPA) Limited,Health Care Providers & Services,Cash Credit Limit,CRISIL A-,Stable
,,Bank Guarantee limit,CRISIL A2+,
Famina Knit Fabs,Engineering & Capital Goods,Term Loan Facilities,#,
,,Foreign Bill Purchase,#,
,,Proposed Long-Term Bank Facility,#,
,,Packing Credits,#,
,,Bank Guarantee limit,#,
,,Bill Discounting Facility,#,
,,Foreign Bill Purchase Limit,#,
Famina Knits Limited,Engineering & Capital Goods,Term Loan Facilities,#,
,,Cash Credit Limit,#,
,,Proposed Long-Term Bank Facility,#,
,,Foreign Bill Discounting Limit,#,
,,Packing Credits,#,
,,Bill Negotiation,#,
Famous Stationery Private Limited,Commercial Services & Supplies,Term Loan Facilities,CRISIL BB-,Stable
,,Cash Credit Limit,CRISIL BB-,Stable
,,Export Packing Credit limits,CRISIL A4+,
Fancy Fittings Limited,Containers & Packaging,Corporate Loan,CRISIL BBB-,Negative
,,Cash Credit Limit,CRISIL BBB-,Negative
,,Proposed Long-Term Bank Facility,CRISIL BBB-,Negative
,,Letter of Credit (LC),CRISIL BBB-,Negative
,,Letter of Credit Limit,CRISIL A3,
,,Bank Guarantee limit,CRISIL A3,
Fanidhar Mega Food Park Private Limited,Commercial Services & Supplies,Proposed Long-Term Bank Facility,CRISIL B,Stable
,,Proposed Short Term Bank Facility,CRISIL A4,
Fankaar Interiors Private Limited,Construction & Engineering,Bank Guarantee limit,CRISIL A4,
Fantoosh India,Textiles- Apparel & Luxury Goods,Cash Credit Limit,#,
,,Proposed Cash Credit Limit,#,
Faqir Chand Vinod Kumar and Co.,Distributors,Cash Credit Limit,#,
,,Letter of Credit Limit,#,
Faran Teppich Exports Private Limited,Household Durables,Export Packing Credit,CRISIL B+,Stable
,,Bill Purchase,CRISIL A4,
Farcom Cable Systems Private Limited,Chemicals,Cash Credit Limit,#,
,,Letter of Credit and Bank Guarantee,#,
Farida Classic Shoes Private Limited,Textiles- Apparel & Luxury Goods,Export Packing Credit limits,#,
Farida Prime Tannery Private Limited,Engineering & Capital Goods,Long Term Bank Loan,CRISIL BB+,Stable
,,Foreign Bill Discounting Limit,CRISIL BB+,Stable
,,Export Packing Credit,CRISIL BB+,Stable
,,Standby Line Of Credit,CRISIL A4+,
,,Letter of Credit Limit,CRISIL A4+,
Faridabad Steel Mongers Private Limited,Distributors,Cash Credit Limit,CRISIL BB-,Stable
Farista Vanijya Private Limited,Pharmaceuticals,Term Loan Facilities,#,
,,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
Fariyas Hotels Private Limited,Hotels Restaurants & Leisure,Term Loan Facilities,CRISIL BBB-,Negative
,,Rupee Term Loans,CRISIL BBB-,Negative
Farmachem Life Private Limited,Distributors,Cash Credit Limit,CRISIL B,Stable
,,Proposed Long-Term Bank Facility,CRISIL B,Stable
,,Letter of Credit Limit,CRISIL A4,
Farmgate Agro Milch Private Limited,Food Products,Working Capital Facility,CRISIL BBB-,Stable
,,Long Term Bank Loan,CRISIL BBB-,Stable
Farmico Cold Storage Private Limited,Commercial Services & Supplies,Mortgage Loan Facility,CRISIL B,Stable
Farmson Pharmaceutical Guj Private Limited,Pharmaceuticals,Cash Credit Limit,CRISIL BBB+,Stable
,,Term Loan Facilities,CRISIL BBB+,Stable
,,Letter of Credit Limit,CRISIL A2,
,,Bill Discounting under Letter of Credit,CRISIL A2,
Farouk Sodagar Darvesh and Co. Private Limited,Distributors,Working Capital Term Loan,CRISIL C,
,,Funded Interest Term Loan,CRISIL C,
,,Letter of Credit Limit,CRISIL A4,
Farriti Merchandize India Private Limited,Distributors,Term Loan Facilities,#,
,,Cash Credit Limit,#,
Fascination India,Engineering & Capital Goods,Export Packing Credit,CRISIL B-,Stable
,,Proposed Long-Term Bank Facility,CRISIL B-,Stable
,,Term Loan Facilities,CRISIL B-,Stable
,,Foreign Bill Purchase,CRISIL B-,Stable
,,Foreign Letter of Credit,CRISIL A4,
Fashion Impex - Rajasthan,Engineering & Capital Goods,Term Loan Facilities,CRISIL B,Stable
,,Cash Credit Limit,CRISIL B,Stable
,,Post Shipment Credit,CRISIL A4,
,,Packing Credits,CRISIL A4,
Fashion Matrix Overseas,Engineering & Capital Goods,Proposed Long-Term Bank Facility,CRISIL BBB-,Stable
,,Over Draft,CRISIL BBB-,Stable
,,Packing Credits,CRISIL A3,
,,Letter of Credit Limit,CRISIL A3,
,,Proposed Short Term Bank Facility,CRISIL A3,
Fast Flow Distributors Private Limited,Real Estate Development,Term Loan Facilities,#,
