Company Name,Industry,Instrument,Rating,Outlook
G B Chowdhury Holdings Private Limited,Road & Rail,Proposed Long-Term Bank Facility,#,
,,Cash Credit Limit,#,
,,Term Loan Facilities,#,
,,Bank Guarantee limit,#,
G B Springs Private Limited,Metals & Mining,Cash Credit Limit,CRISIL BB+,Stable
,,Bank Guarantee limit,CRISIL A4+,
,,Letter of Credit Limit,CRISIL A4+,
G B Tools AND Forgings Limited,Machinery,Term Loan Facilities,#,
,,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
,,Packing Credits,#,
,,Letter of Credit Limit,#,
G H Crop Science Private Limited,Distributors,Proposed Cash Credit Limit,#,
,,Cash Credit Limit,#,
,,Letter of Credit Limit,#,
G I Auto Private Limited,Auto Components,Proposed Long-Term Bank Facility,CRISIL BB,Stable
,,Long Term Bank Loan,CRISIL BB,Stable
,,Overdraft Facility,CRISIL A4+,
G I Industries Private Limited,Distributors,Cash Credit Limit,#,
,,Foreign Letter of Credit,#,
"G J Fernandez, Engineers&Contractors",Construction & Engineering,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
,,Letter of Credit Limit,#,
G K Shelters Private Limited,Real Estate Development,Long Term Bank Loan,#,
G Kumaravel Textiles,Engineering & Capital Goods,Cash Credit Limit,CRISIL B,Stable
G M Cold Storage Private Limited,Commercial Services & Supplies,Cash Credit Limit,CRISIL B+,Stable
,,Proposed Long-Term Bank Facility,CRISIL B+,Stable
G M Cot Fibers,Engineering & Capital Goods,Cash Credit Limit,CRISIL B+,Stable
,,Proposed Long-Term Bank Facility,CRISIL B+,Stable
,,Term Loan Facilities,CRISIL B+,Stable
G M Infinite Dwelling India Private Limited,Real Estate Development,Term Loan Facilities,#,
G N Construction - Ambikapur,Metals & Mining,Cash Credit Limit,CRISIL BB,Stable
,,Proposed Long-Term Bank Facility,CRISIL BB,Stable
,,Bank Guarantee limit,CRISIL A4+,
G N M Cotton and Oils Private Limited,Textiles- Apparel & Luxury Goods,Stand by Line of Credit,#,
,,Rupee Term Loans,#,
,,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
G N R C Limited,Health Care Providers & Services,Proposed Long-Term Bank Facility,CRISIL B,Stable
,,Cash Credit Limit,CRISIL B,Stable
,,Term Loan Facilities,CRISIL B,Stable
G N Ship Breakers,Marine,Cash Credit Limit,CRISIL BB,Stable
,,Letter of Credit Limit,CRISIL A4+,
G P Ispat Private Limited,Metals & Mining,Term Loan Facilities,#,
,,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
G R Infraprojects Limited,Construction & Engineering,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
G R R Industries Private Limited,Engineering & Capital Goods,Proposed Fund-Based Bank Limits,CRISIL B,Stable
,,Cash Credit Limit,CRISIL B,Stable
G S Autocomp Private Limited,Auto Components,Term Loan Facilities,CRISIL B+,Stable
,,Cash Credit Limit,CRISIL B+,Stable
,,Letter of Credit Limit,CRISIL A4,
G S M Industries Private Limited,Construction Materials,Cash Credit Limit,CRISIL D,
,,Proposed Long-Term Bank Facility,CRISIL D,
,,Letter of Credit Limit,CRISIL D,
G S Oils Limited,Food Products,Stand by Line of Credit,#,
,,Cash Credit Limit,#,
,,Term Loan Facilities,#,
,,Bank Guarantee limit,#,
,,Letter of Credit Limit,#,
G T P Granites Limited,Building Products,Packing Credits,CRISIL A3+,
,,Post Shipment Credit,CRISIL A3+,
,,Foreign Letter of Credit,CRISIL A3+,
,,Bank Guarantee limit,CRISIL A3+,
G V G Industries Private Limited,Engineering & Capital Goods,Proposed Long-Term Bank Facility,CRISIL BB,Stable
,,Cash Credit Limit,CRISIL BB,Stable
,,Bank Guarantee limit,CRISIL A4+,
,,Letter of Credit Limit,CRISIL A4+,
G V G Paper Mills Private Limited,Paper & Forest Products,Long Term Bank Loan,CRISIL A-,Stable
,,Cash Credit Limit,CRISIL A-,Stable
,,Letter of Credit Limit,CRISIL A1,
,,Bill Purchase-Discounting Facility,CRISIL A1,
G V Parivaar Retails Limited,Distributors,Cash Credit Limit,CRISIL B+,Stable
,,Proposed Long-Term Bank Facility,CRISIL B+,Stable
,,Bank Guarantee limit,CRISIL A4,
G V Reddy,Construction & Engineering,Proposed Long-Term Bank Facility,CRISIL B+,Stable
,,Cash Credit Limit,CRISIL B+,Stable
,,Bank Guarantee limit,CRISIL A4,
G and G International Private Limited,Engineering & Capital Goods,Proposed Long-Term Bank Facility,CRISIL BB-,Stable
,,Term Loan Facilities,CRISIL BB-,Stable
,,Cash Credit Limit,CRISIL BB-,Stable
G and G Ispat Private Limited,Metals & Mining,Cash Credit Limit,#,
G and T Industries Private Limited,Electrical Equipment,Proposed Working Capital Facility,CRISIL B+,Stable
,,Cash Credit Limit,CRISIL B+,Stable
,,Letter of Credit Limit,CRISIL A4,
G-Next Media Private Limited,Media,Cash Credit Limit,CRISIL BB+,Stable
,,Proposed Fund-Based Bank Limits,CRISIL BB+,Stable
,,Bank Guarantee limit,CRISIL A4+,
G-One Agro Products Limited,Food Products,Cash Credit Limit,CRISIL BBB,Stable
,,Long Term Bank Loan,CRISIL BBB,Stable
,,Inland/Import Letter of Credit,CRISIL A3+,
,,Bank Guarantee limit,CRISIL A3+,
G. A. Industries,Distributors,Cash Credit Limit,#,
G. B. Agro Products,Food Products,Proposed Long-Term Bank Facility,CRISIL B+,Stable
,,Cash Credit Limit,CRISIL B+,Stable
,,Bank Guarantee limit,CRISIL A4,
G. B. Construction,Construction & Engineering,Cash Credit Limit,CRISIL BB,Stable
,,Bank Guarantee limit,CRISIL A4+,
G. C. Threads Private Limited,Textiles- Apparel & Luxury Goods,Term Loan Facilities,#,
,,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
G. D. Motors,Specialty Retail,Inventory Funding,CRISIL B+,Stable
G. D. Overseas,Food Products,Foreign Letter of Credit (LT),CRISIL BB,Stable
,,Cash Credit Limit,CRISIL BB,Stable
,,Packing Credits,CRISIL A4+,
G. Eshwar Reddy and Sons,Construction & Engineering,Secured Overdraft Facility,CRISIL BB-,Stable
,,Proposed Long-Term Bank Facility,CRISIL BB-,Stable
,,Bank Guarantee limit,CRISIL A4+,
G. G. Dandekar Machine Works Limited,Machinery,Term Loan Facilities,#,
,,Cash Credit Limit,#,
G. H. Agro Products Private Limited,Food Products,Cash Credit Limit,#,
G. I. Textiles,Textiles- Apparel & Luxury Goods,Proposed Long-Term Bank Facility,#,
,,Long Term Bank Loan,#,
,,Cash Credit Limit,#,
G. J. Agro Industries,Distributors,Proposed Long-Term Bank Facility,#,
,,Cash Credit Limit,#,
G. K. Autowheels Private Limited,Specialty Retail,Cash Credit Limit,#,
,,Proposed Long-Term Bank Facility,#,
G. K. Dairy and Milk Products Private Limited,Food Products,Cash Credit Limit,#,
G. K. E. Medical Private Limited,Distributors,Cash Credit Limit,CRISIL D,
G. K. International,Distributors,Cash Credit Limit,CRISIL BB-,Stable
G. K. Winding Wires Limited,Electrical Equipment,Cash Credit Limit,CRISIL BBB+,Positive
,,Channel Financing (LT),CRISIL BBB+,Positive
,,Letter of Credit Limit,CRISIL A2,
,,Bank Guarantee limit,CRISIL A2,
G. Khanna and Company,Distributors,Foreign Letter of Credit (LT),CRISIL BB,Stable
,,Cash Credit Limit,CRISIL BB,Stable
,,Proposed Long-Term Bank Facility,CRISIL BB,Stable
G. L. Acharya,Engineering & Capital Goods,Proposed Working Capital Facility,CRISIL BBB,Stable
G. M. Overseas,Food Products,Cash Credit Limit,#,
G. N. Industries - Surat,Engineering & Capital Goods,Cash Credit Limit,CRISIL B+,Stable
,,Term Loan Facilities,CRISIL B+,Stable
G. O. Steel Private Limited,Metals & Mining,Cash Credit Limit,#,
,,Proposed Long-Term Bank Facility,#,
,,Bank Guarantee limit,#,
G. P. Oil Mills,Food Products,Proposed Long-Term Bank Facility,#,
,,Cash Credit Limit,#,
G. P. Timber,Distributors,Cash Credit Limit,CRISIL B,Stable
,,Letter of Credit Limit,CRISIL A4,
G. Purushotham Naidu,Construction & Engineering,Proposed Working Capital Facility,#,
G. R. Engineering Private Limited,Machinery,Cash Credit Limit,CRISIL BBB,Stable
,,Cash Credit & Working Capital demand loan,CRISIL BBB,Stable
,,Proposed Cash Credit Limit,CRISIL BBB,Stable
