Company Name,Industry,Instrument,Rating,Outlook
H Dipak and Co.,Engineering & Capital Goods,Export Finance Limit,CRISIL A2+,
,,Proposed Short Term Bank Facility,CRISIL A2+,
,,Packing Credits,CRISIL A2+,
H M International,Distributors,Proposed Long-Term Bank Facility,CRISIL B,Stable
,,Cash Credit Limit,CRISIL B,Stable
,,Import Letter of Credit Limit,CRISIL A4,
,,Proposed Short Term Bank Facility,CRISIL A4,
H M Pipes Private Limited,Machinery,Rupee Term Loans,#,
,,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
H M Steels Limited,Metals & Mining,Working Capital Term Loan,CRISIL D,
,,Funded Interest Term Loan,CRISIL D,
,,Cash Credit Limit,CRISIL D,
,,Letter Of Guarantee,CRISIL D,
H P Ispat Private Limited,Metals & Mining,Proposed Long-Term Bank Facility,#,
,,Cash Credit Limit,#,
,,Long Term Bank Loan,#,
,,Bank Guarantee limit,#,
H P Rama Reddy,Real Estate Development,Lease Rental Discounting Loan,CRISIL B,Stable
H R Ispat Private Limited,Metals & Mining,Cash Credit Limit,CRISIL BB-,Stable
,,Proposed Long-Term Bank Facility,CRISIL BB-,Stable
,,Letter of Credit Limit,CRISIL A4+,
H R M Exports Private Limited,Food Products,Cash Credit Limit,#,
,,Working Capital Demand Loan,#,
H R Polycoats,Textiles- Apparel & Luxury Goods,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
H S India Limited,Hotels Restaurants & Leisure,Cash Credit Limit,#,
,,Proposed Long-Term Bank Facility,#,
,,Long Term Bank Loan,#,
,,Bank Guarantee limit,#,
H S Mehta Infra Private Limited,Construction & Engineering,Secured Overdraft Facility,CRISIL BB+,Stable
,,Bank Guarantee limit,CRISIL A4+,
,,Overdraft Facility,CRISIL A4+,
H S Oberoi Buildtech Private Limited,Construction & Engineering,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
H S Realtors India Private Limited,Hotels Restaurants & Leisure,Term Loan Facilities,#,
H S Sandhu Builders Private Limited,Construction & Engineering,Over Draft,#,
,,Bank Guarantee limit,#,
H&V Advanced Materials (India) Private Limited,Electrical Equipment,Long Term Bank Loan,#,
,,Cash Credit Limit,#,
,,Export Packing Credit limits,#,
,,Letter of Credit Limit,#,
H. Jeelani Leathers,Textiles- Apparel & Luxury Goods,Proposed Cash Credit Limit,#,
,,Cash Credit Limit,#,
,,Long Term Bank Loan,#,
,,Letter of Credit Limit,#,
,,Foreign Bill Discounting,#,
,,Export Packing Credit limits,#,
,,Foreign Bill Negotiation,#,
H. K. Industries,Distributors,Cash Credit Limit,CRISIL B+,Stable
H. K. Kalchuri Education Trust,Diversified Consumer Services,Term Loan Facilities,CRISIL BBB-,Stable
H. K. Timbers Private Limited,Distributors,Cash Credit Limit,CRISIL B,Stable
,,Letter of Credit Limit,CRISIL A4,
H. M. AND Company Medisales Private Limited,Trading Companies & Distributors,Cash Credit Limit,CRISIL B,Stable
H. N. Cotex Private Limited,Engineering & Capital Goods,Long Term Bank Loan,CRISIL B+,Stable
,,Cash Credit Limit,CRISIL B+,Stable
H. N. Singh Construction,Machinery,Proposed Cash Credit Limit,#,
,,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
H. P. Madhukar,Construction & Engineering,Proposed Long-Term Bank Facility,CRISIL BB,Stable
,,Over Draft,CRISIL BB,Stable
,,Overdraft Facility,CRISIL A4+,
,,Bank Guarantee limit,CRISIL A4+,
H. P. Zala,Construction & Engineering,Cash Credit Limit,CRISIL B-,Stable
,,Bank Guarantee limit,CRISIL A4,
H. R. International Limited,Distributors,Cash Credit Limit,CRISIL D,
,,Term Loan Facilities,CRISIL D,
,,Proposed Long-Term Bank Facility,CRISIL D,
,,Packing Credits,CRISIL D,
,,Foreign Documentary Bills Purchase,CRISIL D,
,,Letter of Credit Limit,CRISIL D,
,,Bank Guarantee limit,CRISIL D,
H. R. Polycoats Private Limited,Textiles- Apparel & Luxury Goods,Cash Credit Limit,#,
,,Term Loan Facilities,#,
,,Proposed Long-Term Bank Facility,#,
,,Letter of Credit Limit,#,
H. R. Power Projects Private Limited,Electronic Equipment Instruments & Components,Cash Credit Limit,CRISIL B-,Stable
,,Bank Guarantee limit,CRISIL A4,
,,Letter of Credit Limit,CRISIL A4,
H. R. Timber House,Paper & Forest Products,Cash Credit Limit,#,
,,Working Capital Term Loan,#,
,,Proposed Long-Term Bank Facility,#,
,,Letter of Credit Limit,#,
H. R. Trading Co.,Textiles- Apparel & Luxury Goods,Cash Credit Limit,#,
H. S. Jewels Budaun Private Limited,Engineering & Capital Goods,Proposed Cash Credit Limit,#,
,,Proposed Term Loan,#,
H. Sherul AND Co.,Engineering & Capital Goods,Pre Shipment Credit,CRISIL D,
,,Foreign Bill Discounting,CRISIL D,
,,Packing Credit in Foreign Currency,CRISIL D,
,,Proposed Short Term Bank Facility,CRISIL D,
H.D. Infrastructures,Construction & Engineering,Cash Credit Limit,CRISIL B+,Stable
,,Proposed Cash Credit Limit,CRISIL B+,Stable
,,Bank Guarantee limit,CRISIL A4,
H.D. System Sales Private Limited,Distributors,Cash Credit Limit,CRISIL B+,Stable
,,Bank Guarantee limit,CRISIL A4,
H.K. Enterprises,Distributors,Letter of Credit (LC),CRISIL BBB-,Stable
,,Cash Credit Limit,CRISIL BBB-,Stable
,,Letter of Credit Limit,CRISIL A3,
H.K. Narang Hosiery Private Limited,Textiles- Apparel & Luxury Goods,Proposed Long-Term Bank Facility,#,
,,Cash Credit Limit,#,
,,Letter of Credit Limit,#,
H.L. Agro Products Private Limited,Food Products,Cash Credit Limit,CRISIL B,Stable
H.M. Textiles Private Limited,Distributors,Cash Credit Limit,CRISIL BBB-,Stable
H.M.V. Associates,Construction & Engineering,Cash Credit Limit,#,
H.P. International - Chandigarh,Trading Companies & Distributors,Cash Credit Limit,CRISIL B+,Stable
H.R. Construction Private Limited,Construction & Engineering,Term Loan Facilities,#,
,,Proposed Long-Term Bank Facility,#,
,,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
H.R. Rice Industries Private Limited,Food Products,Proposed Long-Term Bank Facility,#,
,,Cash Credit Limit,#,
,,Term Loan Facilities,#,
H.S. Ramesh,Construction & Engineering,Proposed Long-Term Bank Facility,CRISIL B+,Stable
,,Cash Credit Limit,CRISIL B+,Stable
,,Bank Guarantee limit,CRISIL A4,
H.T. Foods Private Limited,Food Products,Long Term Bank Loan,#,
,,Proposed Long-Term Bank Facility,#,
,,Proposed Packing Credit,#,
H.V.Equipments Private Limited,Machinery,Bank Guarantee,CRISIL B+,Stable
,,Over Draft,CRISIL B+,Stable
,,Bank Guarantee limit,CRISIL A4,
,,Proposed Bank Guarantee,CRISIL A4,
HAQ Enterprises Private Limited,Distributors,Cash Credit Limit,#,
HBD Packaging Private Limited,Containers & Packaging,Cash Credit Limit,#,
,,Term Loan Facilities,#,
,,Proposed Long-Term Bank Facility,#,
HBS City Private Limited,Real Estate Development,Proposed Long-Term Bank Facility,CRISIL D,
,,Term Loan Facilities,CRISIL D,
HCG Charitable Trust,Diversified Consumer Services,Proposed Long-Term Bank Facility,#,
,,Long Term Bank Loan,#,
HCG Medi-Surge Hospitals Private Limited,Health Care Providers & Services,Proposed Long-Term Bank Facility,#,
,,Long Term Bank Loan,#,
HCL Technologies Limited,IT Services,Corporate Credit Rating,CCR AAA,Stable
HCO Infrastructure,Construction & Engineering,Proposed Long-Term Bank Facility,CRISIL D,
,,Cash Credit Limit,CRISIL D,
,,Long Term Bank Loan,CRISIL D,
,,Bank Guarantee limit,CRISIL D,
HCY Industrial Parks Private Limited,Real Estate Development,Lease Rental Discounting Loan(SO),CRISIL A-(SO),
HCY Warehousing Private Limited,Air Freight & Logistics,Lease Rental Discounting Loan(SO),CRISIL A-(SO),
HD Fire Protect Private Limited,Electronic Equipment Instruments & Components,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
,,Bill Purchase-Discounting Facility,#,
HDB Financial Services Limited,Non Banking Financial Company,Long-Term Bank Facility,CRISIL AAA,Stable
,,Non Convertible Debenture,CRISIL AAA,Stable
,,Proposed Long-Term Bank Facility,CRISIL AAA,Stable
,,Perpetual Debt,CRISIL AAA,Stable
,,Subordinated Debt,CRISIL AAA,Stable
,,Short Term Debt (Including Commercial Paper)(ST),CRISIL A1+,
,,Structured Debt Obligation,CRISIL AA(SO),
,,Structured Debt Obligation,CRISIL AAA(SO),
HDC Power Systems Private Limited,Construction & Engineering,Secured Overdraft Facility,CRISIL BB-,Stable
,,Proposed Overdraft Facility,CRISIL BB-,Stable
,,Proposed Short Term Bank Facility,CRISIL A4+,
,,Bank Guarantee limit,CRISIL A4+,
,,Letter of Credit Limit,CRISIL A4+,
HDFC Bank Limited,Banks,Tier I Bonds (Under Basel III)(LT),CRISIL AA+,Stable
,,Tier II Bonds (Under Basel III),CRISIL AAA,Stable
,,Upper Tier-II Bonds (under Basel II)(LT),CRISIL AAA,Stable
,,Infrastructure Bonds,CRISIL AAA,Stable
,,Perpetual Tier-I Bonds (under Basel II)(LT),CRISIL AAA,Stable
,,Pass Through Certificate,CRISIL AAA(SO),
,,Structured Debt Obligation,CRISIL AAA(SO),
HDFC Credila Financial Services Private Limited,Non Banking Financial Company,Non Convertible Debenture,CRISIL AAA,Stable
,,Subordinated Debt,CRISIL AAA,Stable
,,Commercial Paper,CRISIL A1+,
HDFC ERGO General Insurance Company Limited,Insurance,Subordinated Debt,CRISIL AAA,Stable
HDFC High Interest Fund - Dynamic Plan,Asset Management Company,Credit Quality Ratings,CRISIL AAAmfs,
HDFC Income Fund,Asset Management Company,Credit Quality Ratings,CRISIL AAAmfs,
HDFC Securities Limited,Broking Company,Proposed Long-Term Bank Facility,CRISIL AAA,Stable
,,Long-Term Bank Facility,CRISIL AAA,Stable
,,Bank Guarantee limit,CRISIL A1+,
,,Proposed Bank Guarantee,CRISIL A1+,
HGE International Private Limited,Engineering & Capital Goods,Long Term Bank Loan,CRISIL BB-,Stable
,,Foreign Bill Purchase,CRISIL BB-,Stable
,,Proposed Long-Term Bank Facility,CRISIL BB-,Stable
,,Letter of Credit Limit,CRISIL A4+,
,,Packing Credits,CRISIL A4+,
HGP Cars Private Limited,Specialty Retail,Cash Credit Limit,CRISIL B+,Stable
,,Inventory Funding,CRISIL B+,Stable
,,Term Loan Facilities,CRISIL B+,Stable
HGS International Services Private Limited,IT Services,Cash Credit Limit,CRISIL A,Stable
,,Proposed Long-Term Bank Facility,CRISIL A,Stable
,,Term Loan Facilities,CRISIL A,Stable
HHV Solar Technologies Private Limited,Electrical Equipment,Term Loan Facilities,#,
,,Proposed Long-Term Bank Facility,#,
,,Cash Credit Limit,#,
,,Letter of Credit Limit,#,
,,Bank Guarantee limit,#,
HI Blue Interiors Private Limited,Distributors,Long Term Bank Loan,CRISIL B+,Stable
,,Cash Credit Limit,CRISIL B+,Stable
HI Build Coatings Private Limited,Chemicals,Long Term Bank Loan,CRISIL BB+,Stable
,,Cash Credit Limit,CRISIL BB+,Stable
,,Proposed Long-Term Bank Facility,CRISIL BB+,Stable
HI Tech Leather Garments Bangalore Private Limited,Textiles- Apparel & Luxury Goods,Long Term Bank Loan,#,
,,Foreign Bill Discounting,#,
,,Foreign Letter of Credit,#,
,,Export Packing Credit limits,#,
HI Tech Transpower Private Limited,Electrical Equipment,Cash Credit Limit,CRISIL B-,Stable
,,Bank Guarantee limit,CRISIL A4,
HI-TECH AGRO FOOD PRIVATE LIMITED,Food Products,Cash Credit Limit,CRISIL B+,Stable
HILITE Realtors (India) LLP,Real Estate Development,Long Term Bank Loan,CRISIL D,
HIM Teknoforge Limited,Auto Components,Cash Credit Limit,#,
,,Term Loan Facilities,#,
,,Proposed Short Term Bank Facility,#,
HK Infraventures Private Limited,Real Estate Development,Term Loan Facilities,CRISIL B,Stable
HLM India Private Limited,Machinery,Proposed Long-Term Bank Facility,CRISIL D,
,,Cash Credit Limit,CRISIL D,
,,Term Loan Facilities,CRISIL D,
HLS Asia Limited,Energy Equipment & Services,Cash Credit Limit,CRISIL A,Negative
,,Proposed Bank Guarantee,CRISIL A1,
,,Bank Guarantee limit,CRISIL A1,
,,Letter of Credit Limit,CRISIL A1,
HM Grains and Pulses Processing Private Limited,Food Products,Cash Credit Limit,CRISIL BB-,Stable
HM Jewellers Private Limited,Engineering & Capital Goods,Working Capital Facility,CRISIL B+,Stable
,,Long Term Bank Loan,CRISIL B+,Stable
,,Stand by Line of Credit,CRISIL B+,Stable
HM Overseas Private Limited,Distributors,Cash Credit Limit,#,
,,Foreign Letter of Credit,#,
HM Patel and Company,Distributors,Cash Credit Limit,CRISIL B,Stable
,,Letter of Credit Limit,CRISIL A4,
HMA Agro Industries Limited,Food Products,Cash Credit Limit,CRISIL BBB-,Stable
,,Packing Credits,CRISIL A3,
,,Letter of Credit Limit,CRISIL A3,
,,Packing Credit in Foreign Currency,CRISIL A3,
,,Bank Guarantee limit,CRISIL A3,
HMC MM Auto Limited,Auto Components,Term Loan Facilities,CRISIL AA,Stable
,,Over Draft,CRISIL AA,Stable
,,Proposed Long-Term Bank Facility,CRISIL AA,Stable
,,Letter of Credit Bill Discounting,CRISIL A1+,
HMM Infra Limited,Construction & Engineering,Cash Credit Limit,CRISIL BBB-,Stable
,,Term Loan Facilities,CRISIL BBB-,Stable
,,Letter Of Guarantee,CRISIL A3,
HN Company Infra Private Limited,Construction & Engineering,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
HNB Engineers Private Limited,Construction & Engineering,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
HP Cotton Textile Mills Limited,Engineering & Capital Goods,Proposed Long-Term Bank Facility,CRISIL BB-,Negative
,,Cash Credit Limit,CRISIL BB-,Negative
,,Long Term Bank Loan,CRISIL BB-,Negative
,,Letter of Credit Limit,CRISIL A4,
,,Bank Guarantee limit,CRISIL A4,
,,Capex Letter of Credit,CRISIL A4,
HP Telecom India Private Limited,Distributors,Proposed Long-Term Bank Facility,CRISIL BB,Stable
,,Cash Credit Limit,CRISIL BB,Stable
,,Letter of Credit Limit,CRISIL A4+,
HPC Electricals Limited,Electronic Equipment Instruments & Components,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
HPL Additives Limited,Chemicals,Cash Credit Limit,CRISIL A-,Stable
,,Bank Guarantee limit,CRISIL A2+,
HPM chemicals and Fertilizers Limited,Chemicals,Cash Credit Limit,CRISIL BBB+,Negative
,,Letter of Credit Limit,CRISIL A2,
HQ Lamps Manufacturing Co.,Household Durables,Cash Credit Limit,#,
HR Food Processing Private Limited,Food Products,Cash Credit Limit,CRISIL B-,Stable
,,Term Loan Facilities,CRISIL B-,Stable
HRA Paper Mills Private Limited,Paper & Forest Products,Cash Credit Limit,#,
,,Term Loan Facilities,#,
HRS Process Systems Limited,Machinery,Cash Credit Limit,CRISIL BBB,Stable
,,Stand by Line of Credit,CRISIL BBB,Stable
,,Bank Guarantee limit,CRISIL A3+,
,,Letter of Credit Limit,CRISIL A3+,
HReck Engineers Private Limited,Machinery,Rupee Term Loans,#,
