Company Name,Industry,Instrument,Rating,Outlook
I Blue Minerals Private Limited,Construction Materials,Term Loan Facilities,#,
,,Cash Credit Limit,#,
,,Proposed Term Loan,#,
I Four Exporters,Engineering & Capital Goods,Proposed Cash Credit Limit,CRISIL B+,Stable
,,Cash Credit Limit,CRISIL B+,Stable
,,Proposed Long-Term Bank Facility,CRISIL B+,Stable
I M Healthcare Private Limited,Pharmaceuticals,Proposed Long-Term Bank Facility,CRISIL B-,Stable
,,Term Loan Facilities,CRISIL B-,Stable
,,Cash Credit Limit,CRISIL B-,Stable
I P Vijaya Multiplex Private Limited,Real Estate Development,Term Loan Facilities,#,
I Vetrivel,Construction & Engineering,Over Draft,CRISIL BB,Stable
,,Bank Guarantee limit,CRISIL A4+,
I-Red Concret AND Allied Construction Private Limited,Real Estate Development,Cash Credit Limit,#,
I.S.P. Infrastructures Private Limited,Real Estate Development,Term Loan Facilities,CRISIL BB,Stable
IAC Electricals Private Limited,Electrical Equipment,Cash Credit Limit,#,
,,Bill Discounting,#,
,,Bank Guarantee limit,#,
IAC International Automotive India Private Limited,Auto Components,Cash Credit Limit,CRISIL BBB+,Stable
,,Rupee Term Loans,CRISIL BBB+,Stable
,,Letter of Credit and Bank Guarantee,CRISIL A2,
IAI Joinflex India Private Limited,Auto Components,Term Loan Facilities,#,
,,Cash Credit Limit,#,
IAP Company Private Limited,Software,Cash Credit Limit,CRISIL BBB-,Negative
,,Term Loan Facilities,CRISIL BBB-,Negative
,,Proposed Long-Term Bank Facility,CRISIL BBB-,Negative
,,Standby Line Of Credit,CRISIL A3,
,,Bank Guarantee limit,CRISIL A3,
IASYS Technology Solutions Private Limited,Internet Software & Services,Proposed Long-Term Bank Facility,#,
IBC Limited,Metals & Mining,Stand by Line of Credit,CRISIL D,
,,Cash Credit Limit,CRISIL D,
,,Drop Line Overdraft Facility,CRISIL D,
,,Bank Guarantee limit,CRISIL D,
,,Letter of Credit Limit,CRISIL D,
,,Export Packing Credit limits,CRISIL D,
IC Electricals Company Private Limited,Electronic Equipment Instruments & Components,Cash Credit Limit,CRISIL BB,Stable
,,Bank Guarantee limit,CRISIL A4+,
ICICI Bank Limited,Banks,Bond,CRISIL AAA,Stable
,,Perpetual Tier-I Bonds (under Basel II)(LT),CRISIL AAA,Stable
,,Upper Tier-II Bonds (under Basel II)(LT),CRISIL AAA,Stable
,,Pass Through Certificate,CRISIL A1+(SO),
,,Pass Through Certificate,CRISIL AAA(SO),Stable
,,Structured Debt Obligation,CRISIL AAA(SO),
,,Pass Through Certificate,CRISIL AAA(SO),
,,Structured Debt Obligation,CRISIL BBB(SO),
ICICI Lombard General Insurance Company Limited,Insurance,Subordinated Debt,CRISIL AAA,Stable
ICICI Prudential Banking & PSU Debt Fund,Asset Management Company,Credit Quality Ratings,CRISIL AAAmfs,
ICICI Prudential Flexible Income Plan,Asset Management Company,Credit Quality Ratings,CRISIL AAAmfs,
ICICI Prudential Income Fund,Asset Management Company,Credit Quality Ratings,CRISIL AAAmfs,
ICICI Prudential Income Opportunities Fund,Asset Management Company,Credit Quality Ratings,CRISIL AAAmfs,
ICICI Prudential Liquid Plan,Asset Management Company,Credit Quality Ratings,CRISIL AAAmfs,
ICICI Prudential Money Market Fund,Asset Management Company,Credit Quality Ratings,CRISIL AAAmfs,
ICICI Prudential Ultra Short Term Plan,Asset Management Company,Credit Quality Ratings,CRISIL AAAmfs,
ICICI Securities Limited,Broking Company,Non Convertible Debenture,CRISIL AAA,Stable
,,Commercial Paper,CRISIL A1+,
ICICI Securities Primary Dealership Limited,Broking Company,Tier II Bond,CRISIL AAA,Stable
,,Short Term Debt,CRISIL A1+,
ICL FINCORP LIMITED,Non Banking Financial Company,Non Convertible Debenture,CRISIL BB-,Stable
,,Proposed Cash Credit Limit,CRISIL BB-,Stable
ICL Hi - Tech Educational Society,Diversified Consumer Services,Term Loan Facilities,#,
,,Proposed Long-Term Bank Facility,#,
,,Over Draft,#,
ICore-E-Services Limited,Multiline Retail,Cash Credit Limit,#,
,,Proposed Long-Term Bank Facility,#,
,,Proposed Term Loan,#,
IDBI Bank Limited,Banks,Upper Tier-II Bonds (under Basel II)(LT),CRISIL A,Negative
,,Perpetual Tier-I Bonds (under Basel II)(LT),CRISIL A,Negative
,,Tier II Bonds (Under Basel III),CRISIL A+,Negative
,,Flexi Bonds,CRISIL A+,Negative
,,Infrastructure Bonds,CRISIL A+,Negative
,,Omni Bonds,CRISIL A+,Negative
,,Lower Tier-II Bonds (under Basel II)(LT),CRISIL A+,Negative
,,Tier I Bonds (Under Basel III)(LT),CRISIL BBB+,Negative
,,Fixed Deposit,FAA,Negative
,,Certificate of Deposit,CRISIL A1+,
,,Pass Through Certificate,CRISIL A1+(SO),
IDBI Ultra Short Term Fund,Asset Management Company,Credit Quality Ratings,CRISIL AAAmfs,
IDFC Dynamic Bond Fund,Asset Management Company,Credit Quality Ratings,CRISIL AAAmfs,
IDFC Super Saver Income Fund - Investment Plan,Asset Management Company,Credit Quality Ratings,CRISIL AAAmfs,
IDMC Limited,Machinery,Proposed Long-Term Bank Facility,CRISIL A+,Stable
,,Letter of Credit Limit,CRISIL A1,
,,Bank Guarantee limit,CRISIL A1,
IDS Infotech Limited,IT Services,Proposed Long-Term Bank Facility,CRISIL BBB-,Stable
,,Term Loan Facilities,CRISIL BBB-,Stable
,,Proposed Short Term Bank Facility,CRISIL A3,
,,Export Packing Credit limits,CRISIL A3,
IFMR Capital Finance Private Limited,Non Banking Financial Company,Structured Debt Obligation,CRISIL BBB(SO),
IGC India Mining and Trading Private Limited,Distributors,Letter of Credit Limit,#,
IGP Engineers Private Limited,Machinery,Long Term Bank Loan,#,
