Company Name,Industry,Instrument,Rating,Outlook
J - Marks Exim India Private Limited,Trading Companies & Distributors,Term Loan Facilities,#,
,,Cash Credit Limit,#,
J AND J Precision Industries,Computers & Peripherals,Cash Credit Limit,CRISIL B-,Stable
J AND S Construction,Construction & Engineering,Proposed Long-Term Bank Facility,CRISIL B+,Stable
,,Cash Credit Limit,CRISIL B+,Stable
,,Bank Guarantee limit,CRISIL A4,
J Abdul Vahid,Construction & Engineering,Cash Credit Limit,CRISIL BB-,Stable
,,Bank Guarantee limit,CRISIL A4+,
J B Chemicals And Pharmaceuticals Limited,Pharmaceuticals,Proposed Long-Term Bank Facility,CRISIL AA,Stable
,,Cash Credit Limit,CRISIL AA,Stable
,,Letter of Credit Limit,CRISIL A1+,
J B Ecotex LLP,Engineering & Capital Goods,Cash Credit Limit,CRISIL BB,Stable
,,Proposed Cash Credit Limit,CRISIL BB,Stable
,,Term Loan Facilities,CRISIL BB,Stable
,,Proposed Term Loan,CRISIL BB,Stable
,,Bank Guarantee limit,CRISIL A4+,
J B Publishing House Private Limited,Media,Long Term Bank Loan,CRISIL B+,Stable
,,Cash Credit Limit,CRISIL B+,Stable
J D Ispat Private Limited,Metals & Mining,Term Loan Facilities,#,
,,Cash Credit Limit,#,
,,Letter of Credit Limit,#,
J G Agro Industries,Food Products,Cash Credit Limit,CRISIL D,
J G Foundry Limited,Metals & Mining,Cash Credit Limit,CRISIL B+,Stable
J H V Sugar Limited,Food Products,Cash Credit Limit,#,
J Hotels Private Limited,Hotels Restaurants & Leisure,Cash Credit Limit,#,
,,Long Term Bank Loan,#,
J J Poly Impex Private Limited,Distributors,Letter of Credit (LC),#,
J K Sons Engineers pvt Ltd,Containers & Packaging,Stand by Line of Credit,CRISIL BBB,Positive
,,Cash Credit Limit,CRISIL BBB,Positive
,,Term Loan Facilities,CRISIL BBB,Positive
,,Bank Guarantee limit,CRISIL A3+,
,,Letter of Credit Limit,CRISIL A3+,
J Korin Spinning Private Limited,Engineering & Capital Goods,Cash Credit Limit,CRISIL BB,Stable
,,Proposed Long-Term Bank Facility,CRISIL BB,Stable
,,Long Term Bank Loan,CRISIL BB,Stable
,,Bank Guarantee limit,CRISIL A4+,
,,Standby Line Of Credit,CRISIL A4+,
J M Mhatre Constructions Private Limited,Real Estate Development,Proposed Long-Term Bank Facility,#,
J N S L Ferro Alloys,Distributors,Proposed Long-Term Bank Facility,CRISIL B,Stable
,,Cash Credit Limit,CRISIL B,Stable
,,Term Loan Facilities,CRISIL B,Stable
J P Dyechem Private Limited,Chemicals,Cash Credit Limit,#,
,,Letter of Credit Limit,#,
J P Infra Mumbai Private Limited,Real Estate Development,Term Loan Facilities,#,
,,Proposed Long-Term Bank Facility,#,
J P Polymers,Distributors,Cash Credit Limit,CRISIL B,Stable
,,Proposed Long-Term Bank Facility,CRISIL B,Stable
,,Letter of Credit Limit,CRISIL A4,
J Pan Tubular Components Private Limited,Electrical Equipment,Term Loan Facilities,#,
,,Cash Credit Limit,#,
,,Packing Credits,#,
,,Bank Guarantee limit,#,
,,Foreign Letter of Credit,#,
J R Strips Private Limited,Metals & Mining,Proposed Long-Term Bank Facility,#,
,,Term Loan Facilities,#,
,,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
,,Letter of Credit Limit,#,
J R Tantia Charitable Trust,Diversified Consumer Services,Term Loan Facilities,CRISIL BBB-,Stable
,,Overdraft Facility,CRISIL A3,
J S Designer Limited,Textiles- Apparel & Luxury Goods,Term Loan Facilities,#,
