Company Name,Industry,Instrument,Rating,Outlook
L AND W Construction Private Limited,Construction & Engineering,Bank Guarantee limit,CRISIL A2+,
,,Proposed Bank Guarantee,CRISIL A2+,
L B Kunjir,Construction & Engineering,Over Draft,#,
,,Term Loan Facilities,#,
,,Proposed Long-Term Bank Facility,#,
,,Cash Credit Limit,#,
,,Proposed Short Term Bank Facility,#,
,,Letter of Credit and Bank Guarantee,#,
L G Electronics India Private Limited,Household Durables,Proposed Long-Term Bank Facility,CRISIL AA+,Positive
,,Working Capital Demand Loan,CRISIL AA+,Positive
,,Short-Term Loan,CRISIL A1+,
,,Letter of Credit Limit,CRISIL A1+,
L M J Services Limited,Specialty Retail,Cash Credit Limit,CRISIL BB,Stable
,,Inventory Funding Facility,CRISIL A4+,
L N Constructions,Construction & Engineering,Cash Credit Limit,CRISIL B-,Stable
,,Bank Guarantee limit,CRISIL A4,
L N Fields Private Limited,Distributors,Over Draft,#,
L N Malviya Infra Projects Private Limited,Professional Services,Proposed Cash Credit Limit,CRISIL BB+,Positive
,,Proposed Bank Guarantee ? Long-Term,CRISIL BB+,Positive
,,Cash Credit Limit,CRISIL BB+,Positive
,,Bank Guarantee limit,CRISIL A4+,
,,Proposed Bank Guarantee,CRISIL A4+,
L N Metallics Limited,Metals & Mining,Proposed Long-Term Bank Facility,CRISIL BB,Stable
,,Term Loan Facilities,CRISIL BB,Stable
,,Cash Credit Limit,CRISIL BB,Stable
,,Bank Guarantee limit,CRISIL A4+,
,,Letter of Credit Limit,CRISIL A4+,
L R Automobiles,Specialty Retail,Electronic Dealer Financing Scheme,CRISIL B+,Stable
,,Cash Credit Limit,CRISIL B+,Stable
L R N Finance Limited,Non Banking Financial Company,Non Convertible Debenture,CRISIL D,
,,Proposed Long-Term Bank Facility,CRISIL D,
L and D Foods,Food Products,Warehouse Receipts,CRISIL BB-,Stable
,,Cash Credit Limit,CRISIL BB-,Stable
,,Term Loan Facilities,CRISIL BB-,Stable
,,Bank Guarantee limit,CRISIL A4+,
L and L Builders Private Limited,Real Estate Development,Proposed Long-Term Bank Facility,#,
,,Cash Credit Limit,#,
L&T Hydrocarbon Engineering LIMITED,Construction & Engineering,Proposed Working Capital Facility,CRISIL AAA,Stable
,,Non-Fund based limits,CRISIL AAA,Stable
,,Commercial Paper,CRISIL A1+,
L&T Infra Debt Fund Limited,Non Banking Financial Company,Preference Share,CRISIL AAA,Stable
,,Non Convertible Debenture,CRISIL AAA,Stable
L&T Shipbuilding Limited,Machinery,Non-Fund based limits,CRISIL AA-,Stable
,,Fund based limits,CRISIL AA-,Stable
,,Proposed Fund-Based Bank Limits,CRISIL AA-,Stable
,,Commercial Paper,CRISIL A1+,
,,Proposed Non Fund based limits,CRISIL A1+,
,,Non Convertible Debenture(SO),CRISIL AAA(SO),Stable
L&T Special Steels and Heavy Forging Private Limited,Machinery,Cash Credit Limit,CRISIL A,Negative
,,Long Term Bank Loan,CRISIL A,Negative
,,Proposed Long-Term Bank Facility,CRISIL A,Negative
,,Bank Guarantee limit,CRISIL A2+,
,,Proposed Bank Guarantee,CRISIL A2+,
L&T Technology Services Limited,Software,Fund based limits,CRISIL AA+,Stable
,,Non-Fund Based Limit,CRISIL A1+,
L&T Valves Limited,Machinery,Fund based limits,CRISIL AA+,Stable
,,Non-Fund Based Limit,CRISIL A1+,
L&T-MHPS Turbine Generators Private Limited,Electrical Equipment,Proposed Long-Term Bank Facility,CRISIL A,Stable
,,Letter of Credit and Bank Guarantees,CRISIL A,Stable
,,Bill Discounting,CRISIL A,Stable
,,Cash Credit Limit,CRISIL A,Stable
,,Foreign Exchange Forwards,CRISIL A1,
L&T-Mhps Boilers Private Limited,Machinery,Buyers Credit,CRISIL AA,Stable
,,Over Draft,CRISIL AA,Stable
,,Bank Guarantee,CRISIL AA,Stable
,,Export Finance Limit(LT),CRISIL AA,Stable
,,Letter of Credit (LC),CRISIL AA,Stable
,,Proposed Long-Term Bank Facility,CRISIL AA,Stable
L-Comps and Impex Private Limited,Distributors,Cash Credit Limit,#,
,,Letter of Credit Limit,#,
L. C. Foods Limited,Food Products,Cash Credit Limit,#,
L. D. International,Distributors,Letter of Credit Limit,CRISIL A4,
,,Proposed Short Term Bank Facility,CRISIL A4,
L. K. And Sons,Construction & Engineering,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
L. P. Greens,Hotels Restaurants & Leisure,Proposed Term Loan,CRISIL B+,Stable
,,Rupee Term Loans,CRISIL B+,Stable
L. V. Dairys - Patas,Food Products,Term Loan Facilities,CRISIL BB,Negative
,,Cash Credit Limit,CRISIL BB,Negative
L.G. Agro Industries,Food Products,Cash Credit Limit,CRISIL BB-,Stable
L.G. Industries,Machinery,Cash Credit Limit,CRISIL BB-,Stable
,,Letter of Credit Limit,CRISIL A4+,
,,Proposed Non Fund based limits,CRISIL A4+,
,,Proposed Letter of Credit,CRISIL A4+,
L.M.S. Gani Mohamed and Co,Engineering & Capital Goods,Cash Credit Limit,CRISIL B+,Stable
,,Proposed Long-Term Bank Facility,CRISIL B+,Stable
,,Proposed Short Term Bank Facility,CRISIL A4,
,,Bill Discounting under Letter of Credit,CRISIL A4,
,,Letter of Credit Limit,CRISIL A4,
,,Packing Credits,CRISIL A4,
L.P. Hospitality Private Limited,Hotels Restaurants & Leisure,Term Loan Facilities,#,
L.R. International Private Limited,Food Products,Cash Credit Limit,#,
,,Proposed Long-Term Bank Facility,#,
,,Foreign Bill Discounting,#,
,,Export Packing Credit limits,#,
L.R. Sharma and Company,Construction & Engineering,Over Draft,CRISIL B,Stable
,,Bank Guarantee limit,CRISIL A4,
L.S.Mills Limited,Textiles- Apparel & Luxury Goods,Cash Credit Limit,#,
,,Long Term Bank Loan,#,
,,Letter of Credit Limit,#,
,,Bank Guarantee limit,#,
L.T. Karle and Company,Textiles- Apparel & Luxury Goods,Packing Credits,#,
,,Letter of Credit Limit,#,
LAXMI COTSPIN LIMITED,Textiles- Apparel & Luxury Goods,Cash Credit Limit,#,
,,Term Loan Facilities,#,
,,Bank Guarantee limit,#,
LB Cotton Industries LLP,Engineering & Capital Goods,Cash Credit Limit,CRISIL B-,Stable
,,Term Loan Facilities,CRISIL B-,Stable
LCL Logistix India Private Limited,Air Freight & Logistics,Cash Credit Limit,CRISIL BBB-,Stable
,,Bank Guarantee limit,CRISIL A3,
LEAD Reclaim & Rubber Products Limited,Auto Components,Cash Credit Limit,#,
,,Term Loan Facilities,#,
,,Proposed Long-Term Bank Facility,#,
LEDVANCE Private Limited,Household Durables,Cash Credit Limit,CRISIL A,Stable
,,Proposed Long-Term Bank Facility,CRISIL A,Stable
,,Non-Fund Based Limit,CRISIL A1,
LEcole Chempaka Society For Educare,Diversified Consumer Services,Cash Credit Limit,CRISIL BB-,Stable
,,Proposed Long-Term Bank Facility,CRISIL BB-,Stable
,,Term Loan Facilities,CRISIL BB-,Stable
