Company Name,Industry,Instrument,Rating,Outlook
O P Gupta Contractors Private Limited,Construction & Engineering,Secured Overdraft Facility,CRISIL BB+,Stable
,,Bank Guarantee limit,CRISIL A4+,
O. M. S. Tamarind Merchants Private Limited,Distributors,Proposed Long-Term Bank Facility,CRISIL B,Stable
,,Overdraft Facility,CRISIL A4,
O. P. Chains Co.,Engineering & Capital Goods,Cash Credit Limit,CRISIL BB-,Stable
O. P. S. International,Distributors,Cash Credit Limit,CRISIL B,Stable
,,Letter of Credit Limit,CRISIL A4,
O.P. Associates Private Limited,Trading Companies & Distributors,Cash Credit Limit,CRISIL B,Stable
O2 Spa Salon Private Limited,Diversified Consumer Services,Proposed Long-Term Bank Facility,CRISIL B+,Stable
,,Cash Credit Limit,CRISIL B+,Stable
,,Term Loan Facilities,CRISIL B+,Stable
,,Bank Guarantee limit,CRISIL A4,
OB Infrastructure Limited,Transportation Infrastructure,Non Convertible Debenture(SO),CRISIL BBB(SO),Stable
OBEETEE Textiles Private Limited,Engineering & Capital Goods,Term Loan Facilities,CRISIL BBB,Stable
,,Proposed Long-Term Bank Facility,CRISIL BBB,Stable
,,Cash Credit Limit,CRISIL BBB,Stable
,,Letter of Credit Limit,CRISIL A3+,
,,Bank Guarantee limit,CRISIL A3+,
,,Foreign Bill Purchase Limit,CRISIL A3+,
,,Standby Line Of Credit,CRISIL A3+,
,,Export Packing Credit limits,CRISIL A3+,
OCL Iron and Steel Limited,Metals & Mining,Cash Credit Limit,#,
,,Proposed Cash Credit Limit,#,
,,Letter of Credit and Bank Guarantee,#,
,,Packing Credits,#,
OCM Private Limited,Specialty Retail,Proposed Long-Term Bank Facility,CRISIL BBB-,Stable
,,Cash Credit Limit,CRISIL BBB-,Stable
,,Letter of Credit Limit,CRISIL A3,
OG Infrastructure Private Limited,Industrial Conglomerates,Cash Credit Limit,#,
,,Term Loan Facilities,#,
,,Proposed Long-Term Bank Facility,#,
OHM Pipes Private Limited,Machinery,Long Term Bank Loan,CRISIL B,Stable
,,Proposed Fund-Based Bank Limits,CRISIL B,Stable
,,Cash Credit Limit,CRISIL B,Stable
,,Letter of Credit Limit,CRISIL A4,
OM Besco Rail Products Limited,Machinery,Cash Credit Limit,CRISIL C,
OM Energy Generation Private Limited,Independent Power Producers & Energy Traders,Rupee Term Loans,CRISIL B+,Stable
