Company Name,Industry,Instrument,Rating,Outlook
P A Footwear Private Limited,Engineering & Capital Goods,Foreign Bill Purchase,CRISIL BBB,Stable
,,Foreign Bill Discounting Limit,CRISIL BBB,Stable
,,Corporate Loan,CRISIL BBB,Stable
,,Proposed Long-Term Bank Facility,CRISIL BBB,Stable
,,Export Packing Credit limits,CRISIL A3+,
,,Standby Export Packing Credit,CRISIL A3+,
,,Letter of Credit Limit,CRISIL A3+,
,,Foreign Bill Discounting,CRISIL A3+,
P AND S SHRINGAR PRIVATE LIMITED,Textiles- Apparel & Luxury Goods,Cash Credit Limit,#,
,,Letter of Credit Limit,#,
P And S Jewellery Limited,Textiles- Apparel & Luxury Goods,Proposed Short Term Bank Facility,#,
,,Bill Discounting Facility,#,
,,Letter of Credit Limit,#,
P B Nirman Udyog Private Limited,Construction & Engineering,Working Capital Demand Loan,#,
,,Proposed Long-Term Bank Facility,#,
,,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
P C Global Merchandising Private Limited,Engineering & Capital Goods,Proposed Long-Term Bank Facility,CRISIL BB-,Stable
,,Packing Credits,CRISIL A4+,
P D P Steels Limited,Building Products,Cash Credit Limit,#,
,,Term Loan Facilities,#,
,,Proposed Long-Term Bank Facility,#,
,,Bank Guarantee limit,#,
P Dass Forging Private Limited,Auto Components,Term Loan Facilities,CRISIL BB+,Stable
,,Cash Credit Limit,CRISIL BB+,Stable
P G Industry Limited,Construction Materials,Cash Credit Limit,CRISIL BB-,
,,Buyers Credit,CRISIL BB-,
P G Mercantile Private Limited,Distributors,Term Loan Facilities,CRISIL D,
,,Proposed Long-Term Bank Facility,CRISIL D,
,,Cash Credit Limit,CRISIL D,
,,Letter of Credit Limit,CRISIL D,
,,Foreign Exchange Forwards,CRISIL D,
P K K Constructions,Construction & Engineering,Cash Credit Limit,CRISIL B,Stable
,,Proposed Long-Term Bank Facility,CRISIL B,Stable
,,Bank Guarantee limit,CRISIL A4,
P K Lakshmi Mill India Pvt Ltd,Engineering & Capital Goods,Long Term Bank Loan,CRISIL B,Stable
,,Proposed Long-Term Bank Facility,CRISIL B,Stable
,,Cash Credit Limit,CRISIL B,Stable
,,Letter of Credit Limit,CRISIL A4,
,,Foreign Discounting Bill Purchase,CRISIL A4,
P K Thakur and Company Private Limited,Construction & Engineering,Cash Credit Limit,#,
,,Long Term Bank Loan,#,
,,Letter of Credit Limit,#,
,,Bank Guarantee limit,#,
P L Multiplex India Private Limited,Real Estate Development,Term Loan Facilities,#,
P L Raju Constructions Limited,Construction & Engineering,Over Draft,CRISIL BBB+,Negative
,,Cash Credit Limit,CRISIL BBB+,Negative
,,Bank Guarantee limit,CRISIL A2,
P N Paper Mills Private Limited,Paper & Forest Products,Term Loan Facilities,#,
,,Cash Credit Limit,#,
P N Shanavas,Construction & Engineering,Proposed Working Capital Facility,CRISIL BB-,Stable
,,Cash Credit/ Overdraft facility,CRISIL BB-,Stable
,,Bank Guarantee limit,CRISIL A4+,
P Narasimha Rao and Company,Construction & Engineering,Proposed Long-Term Bank Facility,CRISIL D,
,,Cash Credit Limit,CRISIL D,
,,Long Term Bank Loan,CRISIL D,
,,Bank Guarantee limit,CRISIL D,
P P Raju AND Co,Construction & Engineering,Proposed Working Capital Facility,CRISIL BB+,Stable
,,Secured Overdraft Facility,CRISIL BB+,Stable
,,Bank Guarantee limit,CRISIL A4+,
P P Rubber Products Private Limited,Engineering & Capital Goods,Cash Credit Limit,CRISIL B+,Stable
P R Pote (Patil) Education And Welfare Trust,Diversified Consumer Services,Long Term Bank Loan,#,
P Ramesh,Construction & Engineering,Stand by Line of Credit,CRISIL BB-,Stable
,,Cash Credit Limit,CRISIL BB-,Stable
,,Bank Guarantee limit,CRISIL A4+,
P and M Infrastructures Limited,Construction & Engineering,Term Loan Facilities,#,
,,Proposed Long-Term Bank Facility,#,
P and M and Hi Tech Infrastructures Llp,Real Estate Development,Cash Credit Limit,CRISIL D,
P and P Overseas,Containers & Packaging,Bill Discounting Facility,#,
,,Packing Credits,#,
P and R Engineering Services Private Limited,Independent Power Producers & Energy Traders,Term Loan Facilities,#,
,,Proposed Long-Term Bank Facility,#,
P and R Gogripur Hydro Power Private Limited,Independent Power Producers & Energy Traders,Term Loan Facilities,#,
P. A. Pinions,Auto Components,Cash Credit Limit,CRISIL BB,Positive
,,Rupee Term Loans,CRISIL BB,Positive
,,Proposed Long-Term Bank Facility,CRISIL BB,Positive
,,Bank Guarantee limit,CRISIL A4+,
P. Ashokkumar and Co.,Engineering & Capital Goods,Post Shipment Credit,#,
P. B. Alloys Private Limited,Distributors,Cash Credit Limit,CRISIL B,Stable
,,Proposed Long-Term Bank Facility,CRISIL B,Stable
,,Foreign Letter of Credit (LT),CRISIL B,Stable
P. B. Construction Co.,Construction & Engineering,Bank Guarantee limit,CRISIL A4+,
P. B. Cotton Industries,Textiles- Apparel & Luxury Goods,Cash Credit Limit,#,
P. C. Industries,Electronic Equipment Instruments & Components,Term Loan Facilities,CRISIL B,Stable
,,Cash Credit Limit,CRISIL B,Stable
P. C. Udyog,Machinery,Proposed Short Term Bank Facility,#,
,,Export Packing Credit limits,#,
,,Overdraft Facility,#,
P. Chandra Reddy and Co.,Electrical Equipment,Proposed Long-Term Bank Facility,CRISIL BB,Stable
,,Secured Overdraft Facility,CRISIL BB,Stable
,,Inland/Import Letter of Credit,CRISIL A4+,
,,Bank Guarantee limit,CRISIL A4+,
P. D. Agarwal,Construction & Engineering,Cash Credit Limit,CRISIL BB+,Stable
,,Bank Guarantee limit,CRISIL A4+,
P. D. Industries Private Limited,Metals & Mining,Cash Credit Limit,CRISIL B,Stable
,,Proposed Long-Term Bank Facility,CRISIL B,Stable
,,Bank Guarantee limit,CRISIL A4,
,,Letter of Credit Limit,CRISIL A4,
P. D. Memorial Religious and Educational Association,Diversified Consumer Services,Rupee Term Loans,#,
,,Over Draft,#,
,,Bank Guarantee limit,#,
P. D. Shah and Sons,Food Products,Proposed Long-Term Bank Facility,CRISIL B,Stable
,,Term Loan Facilities,CRISIL B,Stable
,,Cash Credit Limit,CRISIL B,Stable
,,Bank Guarantee limit,CRISIL A4,
