Company Name,Industry,Instrument,Rating,Outlook
Q - One,Engineering & Capital Goods,Term Loan Facilities,CRISIL B+,Stable
,,Cash Credit Limit,CRISIL B+,Stable
Q Nineth Ceramics,Distributors,Open Cash Credit,CRISIL B+,Stable
QH Talbros Limited,Auto Components,Proposed Long-Term Bank Facility,#,
,,Term Loan Facilities,#,
,,Cash Credit Limit,#,
,,Letter of Credit Limit,#,
QRS Marketing Private Limited,Distributors,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
QRS Retail Limited,Distributors,Cash Credit Limit,#,
,,Working Capital Term Loan,#,
,,Long Term Bank Loan,#,
QVC Exports Private Limited,Distributors,Cash Credit Limit,CRISIL BB-,Stable
,,Proposed Long-Term Bank Facility,CRISIL BB-,Stable
,,Letter of Credit Limit,CRISIL A4+,
,,Export Packing Credit limits,CRISIL A4+,
Qmax Test Equipments Private Limited,Electronic Equipment Instruments & Components,Term Loan Facilities,CRISIL BB,Positive
,,Overdraft Facility,CRISIL A4+,
,,Foreign Bill Discounting,CRISIL A4+,
,,Bank Guarantee limit,CRISIL A4+,
,,Packing Credits,CRISIL A4+,
Qua Water Technologies Private Limited,Construction & Engineering,Proposed Long-Term Bank Facility,CRISIL BB,Stable
,,Cash Credit Limit,CRISIL BB,Stable
,,Bank Guarantee limit,CRISIL A4+,
,,Letter of Credit Limit,CRISIL A4+,
QuadGen Wireless Solutions Private Limited,Diversified Telecommunication Services,Long Term Bank Loan,CRISIL BB,Stable
,,Cash Credit Limit,CRISIL BB,Stable
,,Foreign Exchange Forwards,CRISIL A4+,
,,Bank Guarantee limit,CRISIL A4+,
Quadra Infratel Synergies Private Limited,Construction & Engineering,Cash Credit Limit,CRISIL B,Stable
,,Bank Guarantee limit,CRISIL A4,
Quadragen Vethealth Private Limited,Pharmaceuticals,Long Term Bank Loan,CRISIL BB,Stable
,,Cash Credit Limit,CRISIL BB,Stable
,,Bank Guarantee limit,CRISIL A4+,
,,Foreign Letter of Credit,CRISIL A4+,
,,Export Packing Credit limits,CRISIL A4+,
Quadrant Cables Private Limited,Electrical Equipment,Term Loan Facilities,CRISIL B,Stable
,,Proposed Cash Credit Limit,CRISIL B,Stable
Quadro Info Technologies Private Limited,Real Estate Development,Drop Line Overdraft Facility,CRISIL A,Stable
,,Proposed Long-Term Bank Facility,CRISIL A,Stable
,,Term Loan Facilities,CRISIL A,Stable
Quadsel Systems Private Limited,Distributors,Cash Credit Limit,CRISIL B,Stable
,,Long Term Bank Loan,CRISIL B,Stable
Qualitronics (Madras) Private Limited,Commercial Services & Supplies,Open Cash Credit,CRISIL B-,Stable
,,Working Capital Term Loan,CRISIL B-,Stable
Quality Care India Limited,Health Care Providers & Services,Term Loan Facilities,CRISIL A+,Negative
,,Cash Credit Limit,CRISIL A+,Negative
,,Proposed Term Loan,CRISIL A+,Negative
,,Non Convertible Debenture,CRISIL A+,Negative
,,Letter of Credit Limit,CRISIL A1,
,,Bank Guarantee limit,CRISIL A1,
Quality Electrowire Industries Private Limited,Electronic Equipment Instruments & Components,Cash Credit Limit,#,
,,Proposed Long-Term Bank Facility,#,
,,Bank Guarantee limit,#,
Quality Engineering Works,Machinery,Cash Credit Limit,CRISIL B+,Stable
,,Bank Guarantee limit,CRISIL A4,
Quality Foils India Private Limited.,Metals & Mining,Cash Credit Limit,#,
,,Letter of Credit Limit,#,
Quality Hybrid Seeds Company,Food Products,Term Loan Facilities,CRISIL B,Stable
,,Cash Credit Limit,CRISIL B,Stable
Quality Industries,Household Durables,Proposed Long-Term Bank Facility,#,
,,Cash Credit Limit,#,
,,Term Loan Facilities,#,
,,Foreign Letter of Credit,#,
,,Letter of Credit Limit,#,
Quality Overseas Private Limited,Food Products,Warehouse Financing,CRISIL B+,Stable
,,Proposed Cash Credit Limit,CRISIL B+,Stable
,,Proposed Term Loan,CRISIL B+,Stable
,,Cash Credit Limit,CRISIL B+,Stable
Quality Power Electrical Equipments Private Limited,Electrical Equipment,Export Packing Credit,CRISIL BBB-,Stable
,,Cash Credit Limit,CRISIL BBB-,Stable
,,Proposed Long-Term Bank Facility,CRISIL BBB-,Stable
,,Bank Guarantee limit,CRISIL A3,
,,Inland/Import Letter of Credit,CRISIL A3,
Quality Stainless Private Limited,Metals & Mining,Cash Credit Limit,#,
,,Term Loan Facilities,#,
,,Bank Guarantee limit,#,
,,Foreign Letter of Credit,#,
Quality Wovensacks Private Limited,Containers & Packaging,Term Loan Facilities,#,
,,Cash Credit Limit,#,
Quantaplast Polymer Private Limited,Chemicals,Rupee Term Loans,#,
,,Cash Credit Limit,#,
,,Letter of Credit Limit,#,
,,Bank Guarantee limit,#,
Quantum Power Systems,Electronic Equipment Instruments & Components,Proposed Fund-Based Bank Limits,CRISIL BB,Stable
,,Foreign Letter of Credit (LT),CRISIL BB,Stable
,,Cash Credit Limit,CRISIL BB,Stable
,,Bank Guarantee limit,CRISIL A4+,
Quazar Infrastructure Private Limited,Construction & Engineering,Proposed Long-Term Bank Facility,#,
,,Cash Credit Limit,#,
Qubix Business Parks Pvt. Ltd.,Real Estate Development,Over Draft,CRISIL A-,Stable
Quebec Petroleum Resources Limited,Distributors,Cash Credit Limit,CRISIL BBB-,Stable
,,Term Loan Facilities,CRISIL BBB-,Stable
Quenby Transfers India Private Limited,Commercial Services & Supplies,Cash Credit Limit,CRISIL BBB-,Stable
,,Proposed Long-Term Bank Facility,CRISIL BBB-,Stable
,,Long Term Bank Loan,CRISIL BBB-,Stable
Quest Infosys Foundation,Diversified Consumer Services,Term Loan Facilities,CRISIL B+,Stable
,,Overdraft Facility,CRISIL A4,
Quest Life Sciences Private Limited,Life Sciences Tools & Services,Over Draft,CRISIL BB-,Stable
,,Long Term Bank Loan,CRISIL BB-,Stable
,,Cash Credit Limit,CRISIL BB-,Stable
Quest Retail Private Limited,Specialty Retail,Term Loan Facilities,CRISIL A-,Stable
,,Over Draft,CRISIL A-,Stable
,,Cash Credit Limit,CRISIL A-,Stable
,,Pre Shipment Finance,CRISIL A2+,
,,Letter of Credit Limit,CRISIL A2+,
Quick Act Light Systems and Cables Private Limited,Electronic Equipment Instruments & Components,Cash Credit Limit,CRISIL B+,Stable
,,Proposed Long-Term Bank Facility,CRISIL B+,Stable
,,Channel Financing (LT),CRISIL B+,Stable
Quick N Safe Limited,Road & Rail,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
Quick Setting Cement Private Limited,Construction Materials,Bank Guarantee (BG),CRISIL A1+(SO),
Quilon Foods Private Limited,Food Products,Cash Credit Limit,#,
,,Over Draft,#,
,,Letter of Credit Limit,#,
,,Foreign Bill Purchase Limit,#,
,,Packing Credits,#,
Quilon Real Industries Private Limited,Machinery,Proposed Long-Term Bank Facility,CRISIL BB-,Stable
,,Cash Credit Limit,CRISIL BB-,Stable
,,Bank Guarantee limit,CRISIL A4+,
Qureshi International Private Limited,Food Products,Cash Credit Limit,CRISIL B,Stable
Qutone Ceramic Private Limited,Building Products,Term Loan Facilities,#,
,,Cash Credit Limit,#,
,,Proposed Long-Term Bank Facility,#,
,,Import Letter of Credit Limit,#,
Qutone Granito Private Limited,Building Products,Cash Credit Limit,#,
,,Term Loan Facilities,#,
,,Bank Guarantee limit,#,
