Company Name,Industry,Instrument,Rating,Outlook
R A Kraft Paper Private Limited,Distributors,Cash Credit Limit,CRISIL BB+,Stable
,,Bill Discounting,CRISIL BB+,Stable
,,Letter of Credit Limit,CRISIL A4+,
R AND M International Private Limited,Construction & Engineering,Cash Credit Limit,#,
,,Term Loan Facilities,#,
,,Proposed Long-Term Bank Facility,#,
,,Letter Of Guarantee,#,
R And D Multiples (Metal-Cast) Private Limited,Machinery,Cash Credit Limit,#,
,,Rupee Term Loans,#,
,,Letter of Credit Limit,#,
,,Bank Guarantee limit,#,
R B A Exports Private Limited,Metals & Mining,Cash Credit Limit,CRISIL BBB-,Stable
,,Term Loan Facilities,CRISIL BBB-,Stable
,,Bank Guarantee limit,CRISIL A3,
,,Letter of Credit Limit,CRISIL A3,
R B Ghodke,Construction & Engineering,Cash Credit Limit,CRISIL BB+,Stable
,,Bank Guarantee limit,CRISIL A4+,
R B Patil Infrastructure Private Limited,Construction & Engineering,Proposed Rupee Term Loan,CRISIL B,Stable
,,Cash Credit Limit,CRISIL B,Stable
,,Bank Guarantee limit,CRISIL A4,
R B Technocrats AND Reclaimers Private Limited,Machinery,Cash Credit Limit,CRISIL B+,Stable
,,Letter of Credit Limit,CRISIL A4,
,,Bank Guarantee limit,CRISIL A4,
R Balarami Reddy and Company,Construction & Engineering,Over Draft,#,
,,Bank Guarantee limit,#,
R C Plasto Tanks and Pipes Private Limited,Machinery,Cash Credit Limit,CRISIL BBB,Positive
,,Proposed Long-Term Bank Facility,CRISIL BBB,Positive
,,Long Term Bank Loan,CRISIL BBB,Positive
,,Letter of Credit Limit,CRISIL A3+,
R D Engineers India Private Limited,Machinery,Cash Credit Limit,CRISIL B-,Stable
,,Letter of Credit Limit,CRISIL A4,
,,Letter Of Guarantee,CRISIL A4,
R D Fashions Private Limited,Engineering & Capital Goods,Term Loan Facilities,CRISIL B+,Stable
,,Cash Credit Limit,CRISIL B+,Stable
,,Letter of Credit Limit,CRISIL A4,
R D Motors Private Limited,Specialty Retail,Cash Credit Limit,#,
,,Inventory Funding,#,
R D Samant Contractors Private Limited,Construction & Engineering,Proposed Long-Term Bank Facility,CRISIL BB,Stable
,,Cash Credit Limit,CRISIL BB,Stable
,,Standby Line Of Credit,CRISIL A4+,
,,Bank Guarantee limit,CRISIL A4+,
R D Tea Limited,Food Products,Proposed Long-Term Bank Facility,#,
,,Term Loan Facilities,#,
,,Cash Credit Limit,#,
,,Letter of Credit Limit,#,
R E Infra Private Limited,Construction & Engineering,Proposed Long-Term Bank Facility,#,
,,Secured Overdraft Facility,#,
,,Cash Credit Limit,#,
,,Over Draft,#,
,,Bank Guarantee limit,#,
R F Motors Private Limited,Specialty Retail,Cash Credit Limit,#,
,,Inventory Funding,#,
,,Proposed Long-Term Bank Facility,#,
R G Bronze Mfg. Company Private Limited,Auto Components,Cash Credit Limit,CRISIL BBB,Stable
R G Scientific Enterprises Private Limited,Health Care Providers & Services,Over Draft,CRISIL B+,Stable
,,Cash Credit Limit,CRISIL B+,Stable
,,Working Capital Term Loan,CRISIL B+,Stable
,,Term Loan Facilities,CRISIL B+,Stable
,,Overdraft Facility,CRISIL A4,
R G Shaw and Sons Private Limited,Distributors,Cash Credit Limit,#,
R H Agro Overseas Private Limited,Food Products,Working Capital Term Loan,#,
,,Term Loan Facilities,#,
,,Funded Interest Term Loan,#,
,,Cash Credit Limit,#,
,,Foreign Exchange Forwards,#,
,,Bank Guarantee limit,#,
R J Buildcon Private Limited,Construction & Engineering,Term Loan Facilities,CRISIL B+,Stable
,,Over Draft,CRISIL B+,Stable
,,Bank Guarantee limit,CRISIL A4,
R J Square Link Private Limited,Distributors,Term Loan Facilities,#,
,,Cash Credit Limit,#,
R K Ice and Cold Storage,Food Products,Cash Credit Limit,#,
,,Foreign Bill Purchase Limit,#,
R K Industries,Machinery,Proposed Long-Term Bank Facility,#,
,,Cash Credit Limit,#,
R K Jain Infra projects Pvt. Ltd.,Construction & Engineering,Cash Credit Limit,CRISIL BB,Stable
,,Bank Guarantee limit,CRISIL A4+,
R K Metal And Plastic Private Limited,Containers & Packaging,Term Loan Facilities,#,
,,Proposed Long-Term Bank Facility,#,
,,Cash Credit Limit,#,
,,Letter of Credit Limit,#,
,,Bank Guarantee limit,#,
R Karunanidhe Constructions P Ltd,Construction & Engineering,Proposed Cash Credit Limit,CRISIL BB-,Stable
,,Cash Credit Limit,CRISIL BB-,Stable
,,Bank Guarantee limit,CRISIL A4+,
R L Aviation Services Private Limited,Hotels Restaurants & Leisure,Drop Line Overdraft Facility,CRISIL B+,Stable
,,Over Draft,CRISIL B+,Stable
,,Bank Guarantee limit,CRISIL A4,
R M Dasa Infrastructure Private Limited,Construction & Engineering,Cash Credit Limit,CRISIL BB,Stable
,,Bank Guarantee limit,CRISIL A4+,
R M Dhariwal (HUF),Tobacco,Proposed Long-Term Bank Facility,CRISIL BB,Stable
,,Term Loan Facilities,CRISIL BB,Stable
,,Cash Credit Limit,CRISIL BB,Stable
R M Mohite Industries Limited,Textiles- Apparel & Luxury Goods,Long Term Bank Loan,#,
,,Cash Credit Limit,#,
,,Proposed Long-Term Bank Facility,#,
,,Bank Guarantee limit,#,
R M Phosphates and Chemicals Private Limited,Chemicals,Term Loan Facilities,CRISIL B+,Stable
,,Cash Credit Limit,CRISIL B+,Stable
R Misrilal Jewellers Private Limited,Engineering & Capital Goods,Cash Credit Limit,CRISIL B-,Stable
R N Builders,Real Estate Development,Cash Term Loan,CRISIL B,Stable
R N Knitfab Private Limited,Engineering & Capital Goods,Cash Credit Limit,CRISIL BB+,Stable
,,Proposed Cash Credit Limit,CRISIL BB+,Stable
,,Inland/Import Letter of Credit,CRISIL A4+,
R R Durafabs Private Limited,Machinery,Proposed Long-Term Bank Facility,CRISIL B-,Stable
,,Over Draft,CRISIL B-,Stable
,,Bank Guarantee limit,CRISIL A4,
R R Engineering Services India Private Limited,Construction & Engineering,Stand by Line of Credit,#,
,,Term Loan Facilities,#,
,,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
R R Infrastructure,Electrical Equipment,Cash Credit Limit,CRISIL BB,Stable
,,Letter of Credit Limit,CRISIL A4+,
,,Bank Guarantee limit,CRISIL A4+,
R R Oomerbhoy Private Limited,Food Products,Term Loan Facilities,#,
,,Cash Credit Limit,#,
R R Trends Private Limited,Engineering & Capital Goods,Foreign Bill Discounting Limit,CRISIL BB+,Stable
,,Packing Credits,CRISIL A4+,
R S Cashew Industries,Distributors,Cash Credit Limit,CRISIL B-,Stable
R S Casting Limited,Metals & Mining,Cash Credit Limit,#,
,,Letter of Credit Limit,#,
R S Infraudyog Private Limited,Distributors,Working Capital Demand Loan,#,
R S Paper,Paper & Forest Products,Cash Credit Limit,CRISIL B,Stable
,,Term Loan Facilities,CRISIL B,Stable
,,Packing Credit in Foreign Currency,CRISIL A4,
R Systems International Limited,Software,Cash Credit Limit,CRISIL A,Stable
,,Loan Equivalent Risk Limits,CRISIL A1,
R T Exports Limited,Food Products,Term Loan Facilities,CRISIL D,
R V Plastic Limited,Distributors,Channel Financing (LT),#,
,,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
R V Steel,Trading Companies & Distributors,Cash Credit Limit,#,
,,Inland/Import Letter of Credit,#,
R and B Infra Project Private Limited,Construction & Engineering,Cash Credit Limit,CRISIL BB+,Stable
,,Bank Guarantee limit,CRISIL A4+,
R. B. Construction Co,Construction & Engineering,Cash Credit Limit,CRISIL BB,Stable
,,Bank Guarantee limit,CRISIL A4+,
R. B. Forgings Private Limited,Metals & Mining,Term Loan Facilities,#,
,,Cash Credit Limit,#,
R. B. Mehta and Company,Distributors,Proposed Long-Term Bank Facility,#,
,,Secured Overdraft Facility,#,
,,Letter of Credit Limit,#,
R. C. Enterprise,Food Products,Proposed Long-Term Bank Facility,CRISIL BB+,Stable
,,Stand by Line of Credit,CRISIL BB+,Stable
,,Packing Credits,CRISIL A4+,
R. C. Gems,Engineering & Capital Goods,Cash Credit Limit,CRISIL BB-,Stable
,,Proposed Long-Term Bank Facility,CRISIL BB-,Stable
,,Post Shipment Credit,CRISIL A4+,
R. C. Industries,Food Products,Term Loan Facilities,CRISIL B,Stable
,,Proposed Long-Term Bank Facility,CRISIL B,Stable
,,Cash Credit Limit,CRISIL B,Stable
,,Export Packing Credit limits,CRISIL A4,
R. C. Khinvasara,Real Estate Development,Project Term Loan,CRISIL BB,Stable
R. D. Fibers Private Limited,Textiles- Apparel & Luxury Goods,Term Loan Facilities,#,
,,Cash Credit Limit,#,
,,Proposed Long-Term Bank Facility,#,
R. D. Sales,Distributors,Proposed Long-Term Bank Facility,CRISIL B,Stable
,,Cash Credit Limit,CRISIL B,Stable
,,Electronic Dealer Financing Scheme,CRISIL B,Stable
R. D. Weld Products Private Limited,Trading Companies & Distributors,Cash Credit Limit,#,
R. Dasarath,Real Estate Development,Proposed Long-Term Bank Facility,#,
R. E. Rogers India Private Limited,Air Freight & Logistics,Cash Credit Limit,CRISIL BBB,Stable
