Company Name,Industry,Instrument,Rating,Outlook
S & S Power Switchgear Limited,Others,Fixed Deposit,@,
S A Iron and Alloys Limited,Metals & Mining,Rupee Term Loans,#,
,,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
S AND P Foundation Private Limited,Real Estate Development,Long Term Bank Loan,#,
S B Impex,Distributors,Cash Credit Limit,CRISIL B,Stable
,,Proposed Long-Term Bank Facility,CRISIL B,Stable
,,Long Term Bank Loan,CRISIL B,Stable
,,Export Packing Credit limits,CRISIL A4,
,,Foreign Exchange Forwards,CRISIL A4,
S C R Nirman Private Limited,Construction & Engineering,Proposed Cash Credit Limit,#,
,,Long Term Bank Loan,#,
,,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
S G Polyplast Private Limited,Distributors,Buyers Credit,#,
,,Cash Credit Limit,#,
S G Projects Limited,Distributors,Cash Credit Limit,#,
S Gokul Das,Construction & Engineering,Cash Credit Limit,CRISIL B-,Stable
S H Kelkar and Company Private Limited,Chemicals,Working Capital Demand Loan,CRISIL A+,Positive
,,Proposed Long-Term Bank Facility,CRISIL A+,Positive
S H M Shipcare,Commercial Services & Supplies,Term Loan Facilities,#,
,,Cash Credit Limit,#,
,,Proposed Long-Term Bank Facility,#,
,,Letter Of Guarantee,#,
S H Marine Exim,Food Products,Packing Credit,CRISIL B+,Stable
,,Bill Discounting under Letter of Credit,CRISIL A4,
S J Developers and Housing Private Limited,Real Estate Development,Term Loan Facilities,CRISIL B,Stable
,,Proposed Term Loan,CRISIL B,Stable
S K B Project India Private Limited,Construction & Engineering,Drop Line Overdraft Facility,CRISIL BB-,Stable
,,Proposed Long-Term Bank Facility,CRISIL BB-,Stable
,,Cash Credit Limit,CRISIL BB-,Stable
,,Bank Guarantee limit,CRISIL A4+,
S K International Stones Private Limited,Building Products,Proposed Long-Term Bank Facility,CRISIL BB-,Stable
,,Cash Credit Limit,CRISIL BB-,Stable
,,Export Packing Credit limits,CRISIL A4+,
,,Foreign Bill Discounting,CRISIL A4+,
S K P Steel Industries Private Limited,Machinery,Cash Credit Limit,#,
,,Proposed Long-Term Bank Facility,#,
,,Term Loan Facilities,#,
,,Letter of Credit Limit,#,
,,Bank Guarantee limit,#,
S K Sarawagi and Co Private Limited,Industrial Conglomerates,Term Loan Facilities,#,
,,Over Draft,#,
