Company Name,Industry,Instrument,Rating,Outlook
T AND U Systems Automobiles Private Limited,Specialty Retail,Proposed Long-Term Bank Facility,CRISIL B+,Stable
,,Cash Credit Limit,CRISIL B+,Stable
,,Bank Guarantee limit,CRISIL A4,
T B S Mines and Minerals Private Limited,Road & Rail,Cash Credit Limit,#,
,,Working Capital Demand Loan,#,
T C Terrytex Limited,Textiles- Apparel & Luxury Goods,Proposed Long-Term Bank Facility,#,
,,Cash Credit Limit,#,
,,Term Loan Facilities,#,
,,Bank Guarantee limit,#,
,,Inland/Import Letter of Credit,#,
T I Automotives Private Limited,Specialty Retail,Inventory Funding,CRISIL BB,Stable
T I Motors Private Limited,Specialty Retail,Drop Line Overdraft Facility,CRISIL BB,Stable
,,Electronic Dealer Financing Scheme,CRISIL BB,Stable
,,Cash Credit Limit,CRISIL BB,Stable
,,Adhoc Limits,CRISIL BB,Stable
T K Precision Private Limited,Auto Components,Non-Fund based limits,CRISIL BB,Stable
,,Proposed Long-Term Bank Facility,CRISIL BB,Stable
,,Term Loan Facilities,CRISIL BB,Stable
,,Cash Credit Limit,CRISIL BB,Stable
T Line Infra Private Limited,Construction & Engineering,Cash Credit/ Overdraft facility,CRISIL B,Stable
,,Long-Term Bank Facility,CRISIL B,Stable
,,Bank Guarantee limit,CRISIL A4,
T R Sawhney Automobiles Private Limited,Specialty Retail,Inventory Funding,CRISIL BBB+,Stable
T S R Cotton Ginning Mill,Engineering & Capital Goods,Cash Credit Limit,CRISIL B+,Stable
T S S S Infotech and Infra Private Limited,IT Services,Long Term Bank Loan,CRISIL B+,Stable
T T L Minerals Exports Private Limited,Distributors,Cash Credit Limit,#,
T V Subbaiah,Electrical Equipment,Cash Credit Limit,CRISIL B,Stable
,,Bank Guarantee limit,CRISIL A4,
T and T Projects Limited,Construction & Engineering,Proposed Long-Term Bank Facility,#,
,,Cash Credit Limit,#,
,,Stand by Line of Credit,#,
,,Bank Guarantee limit,#,
T. A. Textiles,Textiles- Apparel & Luxury Goods,Term Loan Facilities,#,
,,Cash Credit Limit,#,
T. ASOKAN,Construction & Engineering,Cash Credit Limit,CRISIL B,Stable
,,Proposed Working Capital Facility,CRISIL B,Stable
,,Bank Guarantee limit,CRISIL A4,
T. Abdul Wahid Tanneries Private Limited,Engineering & Capital Goods,Packing Credit,CRISIL B,Stable
,,Term Loan Facilities,CRISIL B,Stable
,,Standby Line Of Credit,CRISIL A4,
,,Letter of Credit Limit,CRISIL A4,
,,Bill Discounting Facility,CRISIL A4,
T. C. M. Steels India,Metals & Mining,Cash Credit Limit,CRISIL BB-,Stable
T. C. Motors Private Limited,Specialty Retail,Cash Credit Limit,CRISIL BB,Stable
,,Drop Line Overdraft Facility,CRISIL BB,Stable
,,Working Capital Facility,CRISIL BB,Stable
,,Proposed Fund-Based Bank Limits,CRISIL BB,Stable
,,Working Capital Loan (LT),CRISIL BB,Stable
T. Jayachandran,Hotels Restaurants & Leisure,Long Term Bank Loan,#,
,,Cash Credit Limit,#,
T. K. Engineering Consortium Private Limited,Construction & Engineering,Proposed Long-Term Bank Facility,#,
,,Overdraft Facility,#,
T. K. Paper Mills,Paper & Forest Products,Cash Credit Limit,CRISIL BB-,Stable
T. Kanagaraj,Construction & Engineering,Cash Credit Limit,CRISIL B,Stable
,,Bank Guarantee limit,CRISIL A4,
T. L. Verma and Company Private Limited,Distributors,Cash Credit Limit,#,
,,Letter of Credit Limit,#,
