Company Name,Industry,Instrument,Rating,Outlook
V Biz IT India Private Limited,Textiles- Apparel & Luxury Goods,Gold Loan,#,
V C Motors Private Limited,Specialty Retail,Electronic Dealer Financing Scheme,CRISIL BB+,Stable
,,Cash Credit Limit,CRISIL BB+,Stable
V Care Seeds Private Limited,Food Products,Term Loan Facilities,#,
,,Cash Credit Limit,#,
,,Warehouse Receipts,#,
V Chitti Babu,Real Estate Development,Term Loan Facilities,CRISIL B,Stable
V K R Projects Private Limited,Construction & Engineering,Proposed Long-Term Bank Facility,CRISIL B,Stable
,,Proposed Bank Guarantee,CRISIL A4,
V L Raka Jewellers Private Limited,Engineering & Capital Goods,Proposed Cash Credit Limit,CRISIL B+,Stable
,,Cash Credit Limit,CRISIL B+,Stable
V M Matere Infrastructures India Private Limited,Construction & Engineering,Term Loan Facilities,#,
,,Corporate Loan,#,
,,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
V M R Constructions,Construction & Engineering,Cash Credit Limit,CRISIL BB,Stable
,,Bank Guarantee limit,CRISIL A4+,
V M S Nirman Private Limited,Machinery,Proposed Long-Term Bank Facility,#,
,,Cash Credit Limit,#,
,,Letter of Credit Limit,#,
V M Yarns Private Limited,Distributors,Proposed Long-Term Bank Facility,CRISIL B+,Stable
,,Cash Credit Limit,CRISIL B+,Stable
V Mart Retail Limited,Specialty Retail,Over Draft,#,
,,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
V R Coatings Private Limited,Machinery,Proposed Long-Term Bank Facility,#,
,,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
V R Constructions - Nellore,Construction & Engineering,Proposed Long-Term Bank Facility,CRISIL B+,Stable
,,Cash Credit Limit,CRISIL B+,Stable
,,Bank Guarantee limit,CRISIL A4,
V R Textiles Private Limited,Engineering & Capital Goods,Cash Credit Limit,#,
,,Proposed Long-Term Bank Facility,#,
,,Term Loan Facilities,#,
,,Bank Guarantee limit,#,
V S Metacast Private Limited,Metals & Mining,Cash Credit Limit,#,
,,Rupee Term Loans,#,
,,Bank Guarantee limit,#,
V S N Estates,Real Estate Development,Proposed Term Loan,CRISIL B,Stable
V S P Enterprises Private Limited,Electrical Equipment,Proposed Long-Term Bank Facility,#,
,,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
,,Proposed Short Term Bank Facility,#,
V S S Jewellers,Engineering & Capital Goods,Cash Credit/ Overdraft facility,CRISIL B,Stable
,,Bank Guarantee limit,CRISIL A4,
V S T and Sons Private Limited,Specialty Retail,Cash Credit Limit,#,
,,Term Loan Facilities,#,
V and V Pharma Industries,Chemicals,Long Term Bank Loan,#,
,,Cash Credit Limit,#,
,,Export Packing Credit limits,#,
V-Guard Industries Limited,Household Durables,Short Term Debt (Including Commercial Paper)(ST),CRISIL A1+,
V-Trans India Limited,Road & Rail,Cash Credit Limit,CRISIL BBB+,Positive
V. D. Motors Private Limited,Specialty Retail,Cash Credit Limit,#,
V. D. Swami and Company Private Limited,Machinery,Proposed Long-Term Bank Facility,CRISIL D,
,,Long Term Bank Loan,CRISIL D,
,,Over Draft,CRISIL D,
,,Bank Guarantee limit,CRISIL D,
V. I. Shetty and Company,Construction & Engineering,Cash Credit Limit,CRISIL B+,Stable
,,Proposed Long-Term Bank Facility,CRISIL B+,Stable
,,Bank Guarantee limit,CRISIL A4,
V. Jayantilal and Co.,Engineering & Capital Goods,Bill Discounting Facility,CRISIL A4,
,,Packing Credits,CRISIL A4,
V. K. Pack Well Private Limited,Containers & Packaging,Cash Credit Limit,#,
,,Proposed Long-Term Bank Facility,#,
,,Term Loan Facilities,#,
,,Foreign Letter of Credit,#,
V. K. Textile Processors,Engineering & Capital Goods,Cash Credit Limit,CRISIL BB-,Stable
,,Proposed Long-Term Bank Facility,CRISIL BB-,Stable
,,Term Loan Facilities,CRISIL BB-,Stable
V. Kannan,Real Estate Development,Long Term Bank Loan,#,
,,Bank Guarantee limit,#,
V. Meenal,Construction & Engineering,Proposed Cash Credit Limit,CRISIL BB-,Stable
,,Cash Credit Limit,CRISIL BB-,Stable
,,Bank Guarantee limit,CRISIL A4+,
V. Muhammed Akbar,Construction & Engineering,Cash Credit Limit,CRISIL B,Stable
,,Bank Guarantee limit,CRISIL A4,
V. N. Pethe Bros,Trading Companies & Distributors,Term Loan Facilities,CRISIL B,Stable
,,Cash Credit Limit,CRISIL B,Stable
V. N. V. Builders Private Limited,Construction & Engineering,Long-Term Bank Facility,CRISIL BB-,Stable
,,Over Draft,CRISIL BB-,Stable
,,Bank Guarantee limit,CRISIL A4+,
V. P. K. Motors Private Limited,Specialty Retail,Cash Credit Limit,CRISIL BBB,Stable
,,Long Term Bank Loan,CRISIL BBB,Stable
,,Inventory Funding Facility,CRISIL A3+,
V. P. M. Sankar and Son,Engineering & Capital Goods,Cash Credit Limit,CRISIL B+,Stable
,,Proposed Long-Term Bank Facility,CRISIL B+,Stable
V. R. AND Company,Construction & Engineering,Over Draft,CRISIL BB-,Stable
,,Bank Guarantee limit,CRISIL A4+,
V. R. Ghuge - Aurangabad,Construction & Engineering,Proposed Long-Term Bank Facility,CRISIL B+,Stable
,,Term Loan Facilities,CRISIL B+,Stable
,,Over Draft,CRISIL B+,Stable
V. S. Cotton Industries,Engineering & Capital Goods,Cash Credit Limit,CRISIL D,
,,Proposed Rupee Term Loan,CRISIL D,
,,Term Loan Facilities,CRISIL D,
V. S. Matrix Private Limited,Electronic Equipment Instruments & Components,Proposed Cash Credit Limit,CRISIL B,Stable
,,Proposed Letter of Credit,CRISIL A4,
V. S. Multimetal Private Limited,Metals & Mining,Term Loan Facilities,#,
,,Proposed Long-Term Bank Facility,#,
,,Cash Credit Limit,#,
V. S. N. International,Computers & Peripherals,Cash Credit Limit,CRISIL B+,Stable
,,Letter of Credit and Bank Guarantee,CRISIL A4,
V. S. Y. International Private Limited,Construction & Engineering,Cash Credit Limit,CRISIL B,Stable
,,Bank Guarantee limit,CRISIL A4,
V. Shanmugam,Construction & Engineering,Cash Credit Limit,CRISIL BB-,Stable
,,Bank Guarantee limit,CRISIL A4+,
,,Inland/Import Letter of Credit,CRISIL A4+,
V. T. Adaskar and Company,Real Estate Development,Term Loan Facilities,CRISIL D,
,,Cash Credit Limit,CRISIL D,
V.C. Constructions,Construction & Engineering,Cash Credit Limit,CRISIL B,Stable
,,Bank Guarantee limit,CRISIL A4,
V.J. Constructions,Construction & Engineering,Over Draft,CRISIL BB-,Stable
,,Bank Guarantee limit,CRISIL A4+,
V.K. Gupta and Associates,Construction & Engineering,Proposed Long-Term Bank Facility,CRISIL B+,Stable
,,Cash Credit Limit,CRISIL B+,Stable
,,Bank Guarantee limit,CRISIL A4,
V.K.A. Polymers Private Limited,Household Durables,Proposed Working Capital Facility,CRISIL BBB-,Stable
,,Letter of Credit Limit,CRISIL A3,
,,Letter Of Guarantee,CRISIL A3,
,,Packing Credit in Foreign Currency,CRISIL A3,
V.M.S. Hospital,Health Care Providers & Services,Long Term Bank Loan,CRISIL B-,Stable
