Company Name,Industry,Instrument,Rating,Outlook
W. H. Brady and Co. Limited,Machinery,Cash Credit Limit,#,
,,Long Term Bank Loan,#,
,,Proposed Long-Term Bank Facility,#,
,,Letter of Credit Limit,#,
,,Bank Guarantee limit,#,
W.F.B.Baird and Company India Private Limited,Textiles- Apparel & Luxury Goods,Letter of Credit Limit,#,
,,Export Packing Credit limits,#,
,,Foreign Bill Discounting,#,
WM Developers Private Limited,Real Estate Development,Term Loan Facilities,#,
WRC Engineering Company Private Limited,Machinery,Stand by Line of Credit,#,
,,Cash Credit Limit,#,
,,Corporate Loan,#,
,,Proposed Long-Term Bank Facility,#,
,,Term Loan Facilities,#,
,,Bank Guarantee limit,#,
WUD Tools,Machinery,Proposed Long-Term Bank Facility,#,
,,Term Loan Facilities,#,
,,Cash Credit Limit,#,
Waa Solar Private Limited,Independent Power Producers & Energy Traders,Long Term Bank Loan,CRISIL BBB+,Stable
,,Proposed Long-Term Bank Facility,CRISIL BBB+,Stable
Waaman Products Private Limited,Distributors,Proposed Long-Term Bank Facility,CRISIL B,Stable
Wadhwani Commodities Trading Private Limited,Distributors,Cash Credit Limit,#,
,,Letter of Credit Limit,#,
Wadhwani Parmeshwari Cold Storage Private Limited,Commercial Services & Supplies,Term Loan Facilities,CRISIL B,Stable
Wadia Body builders,Auto Components,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
Wadpack Private Limited,Containers & Packaging,Term Loan Facilities,CRISIL BB+,Stable
,,Proposed Long-Term Bank Facility,CRISIL BB+,Stable
,,Cash Credit Limit,CRISIL BB+,Stable
,,Letter of Credit Limit,CRISIL A4+,
Wahi Sons Private Limited,Auto Components,Cash Credit Limit,CRISIL BB,Stable
,,Long Term Bank Loan,CRISIL BB,Stable
,,Bank Guarantee limit,CRISIL A4+,
,,Letter of Credit Limit,CRISIL A4+,
Wahid Sandhar Sugars Limited,Food Products,Term Loan Facilities,CRISIL BB-,Stable
,,Cash Credit Limit,CRISIL BB-,Stable
,,Proposed Term Loan,CRISIL BB-,Stable
,,Bank Guarantee limit,CRISIL A4+,
Wales Distiller Private Limited,Beverages,Cash Credit Limit,#,
,,Term Loan Facilities,#,
Walfs Infra India Private Limited,Health Care Providers & Services,Proposed Term Loan,CRISIL B,Stable
Wallace Pharmaceuticals Private Limited,Pharmaceuticals,Cash Credit Limit,#,
,,Proposed Long-Term Bank Facility,#,
,,Bank Guarantee limit,#,
,,Letter of Credit Limit,#,
Wallcera Tiles Private Limited,Building Products,Cash Credit Limit,#,
,,Term Loan Facilities,#,
,,Bank Guarantee limit,#,
Walson Merchants Private Limited,Distributors,Cash Credit Limit,#,
Walson Retails Private Limited,Distributors,Cash Credit Limit,#,
,,Term Loan Facilities,#,
Walson and Co,Distributors,Cash Credit Limit,#,
Walter Pack Automotive Products India Private Limited,Auto Components,Term Loan Facilities,CRISIL BB+,Stable
,,Cash Credit Limit,CRISIL BB+,Stable
,,Bank Guarantee limit,CRISIL A4+,
Walwhan Renewable Energy Private Limited,Independent Power Producers & Energy Traders,Proposed Rupee Term Loan,CRISIL AA-,Stable
Waman Hari Pethe Jewellers,Engineering & Capital Goods,Over Draft,CRISIL BBB-,Stable
,,Proposed Long-Term Bank Facility,CRISIL BBB-,Stable
,,Cash Credit Limit,CRISIL BBB-,Stable
,,Stand by Letter of Credit,CRISIL BBB-,Stable
,,Term Loan Facilities,CRISIL BBB-,Stable
Wani Technologies Private Limited,Distributors,Cash Credit Limit,CRISIL BB-,Stable
Wanksons Chemical Industries Private Limited,Chemicals,Working Capital Demand Loan,#,
,,Cash Credit Limit,#,
Waris Buildcon India Private Limited,Construction & Engineering,Term Loan Facilities,CRISIL B+,Stable
,,Overdraft Facility,CRISIL A4,
,,Bank Guarantee limit,CRISIL A4,
Warkem Biotech Private Limited,Biotechnology,Cash Credit Limit,CRISIL A-,Stable
,,Proposed Long-Term Bank Facility,CRISIL A-,Stable
Warm Forgings Private Limited,Auto Components,Cash Credit Limit,#,
,,Term Loan Facilities,#,
,,Bank Guarantee limit,#,
Warm Gears Private Limited,Auto Components,Term Loan Facilities,#,
,,Cash Credit Limit,#,
Waryam Steel Castings Private Limited,Metals & Mining,Letter of Credit (LC),CRISIL BB,Negative
,,Cash Credit Limit,CRISIL BB,Negative
,,Letter of Credit Limit,CRISIL A4+,
Water Systems India Private Limited,Construction & Engineering,Cash Credit Limit,CRISIL B+,Stable
,,Proposed Long-Term Bank Facility,CRISIL B+,Stable
,,Letter of Credit Limit,CRISIL A4,
,,Bank Guarantee limit,CRISIL A4,
Waterfront Constructions Private Limited,Construction & Engineering,Cash Credit Limit,CRISIL BB-,Stable
,,Bank Guarantee limit,CRISIL A4+,
Waterline Hotels Private Limited,Real Estate Development,Proposed Long-Term Bank Facility,#,
,,Long Term Bank Loan,#,
Watertec India Private Limited,Building Products,Cash Credit Limit,CRISIL A-,Stable
,,Buyers Credit Limit,CRISIL A1,
Wave Beverages Private Limited,Beverages,Rupee Term Loans,#,
,,Proposed Long-Term Bank Facility,#,
,,Cash Credit Limit,#,
Wave Distilleries and Breweries Limited,Beverages,Cash Credit Limit,CRISIL BBB-,Stable
,,Term Loan Facilities,CRISIL BBB-,Stable
Wave Hospitality Private Limited,Hotels Restaurants & Leisure,Term Loan Facilities,CRISIL BB+,Stable
Wave Hygiene Products,Personal Products,Proposed Long-Term Bank Facility,#,
Wave Industries Private Limited,Beverages,Proposed Long-Term Bank Facility,CRISIL BBB,Stable
Waves Hotels and Estates Private Limited,Hotels Restaurants & Leisure,Proposed Term Loan,#,
,,Term Loan Facilities,#,
Wayne-Burt Petrochemicals Private Limited,Machinery,Packing Credit,#,
,,Long Term Bank Loan,#,
,,Bank Guarantee limit,#,
,,Letter of Credit Limit,#,
Wearresist Technologies Private Limited,Machinery,Proposed Long-Term Bank Facility,CRISIL BB+,Stable
,,Term Loan Facilities,CRISIL BB+,Stable
,,Cash Credit Limit,CRISIL BB+,Stable
,,Letter of Credit Limit,CRISIL A4+,
,,Bank Guarantee limit,CRISIL A4+,
Weaverly Jute Mills Private Limited,Engineering & Capital Goods,Cash Credit Limit,CRISIL BB+,Stable
,,Export Packing Credit,CRISIL BB+,Stable
,,Bank Guarantee limit,CRISIL A4+,
Weavers India,Household Durables,Stand by Line of Credit,#,
,,Proposed Long-Term Bank Facility,#,
,,Foreign Bill Purchase Limit,#,
,,Export Packing Credit limits,#,
Weavetex overseas,Household Durables,Term Loan Facilities,CRISIL A-,Stable
,,Packing Credits,CRISIL A2+,
Web Tech Engineering Private Limited,Machinery,Proposed Cash Credit Limit,#,
,,Cash Term Loan,#,
,,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
Webcot,Health Care Equipment & Supplies,Proposed Long-Term Bank Facility,CRISIL BBB-,Stable
,,Cash Credit Limit,CRISIL BBB-,Stable
,,Term Loan Facilities,CRISIL BBB-,Stable
,,Letter of Credit Limit,CRISIL A3,
,,Packing Credit in Foreign Currency,CRISIL A3,
,,Bank Guarantee limit,CRISIL A3,
Webfil Limited,Machinery,Cash Credit Limit,CRISIL B-,Stable
Webuild Private Limited,Construction & Engineering,Proposed Cash Credit Limit,CRISIL B-,Stable
,,Cash Credit Limit,CRISIL B-,Stable
,,Bank Guarantee limit,CRISIL A4,
Well Knit Industries,Engineering & Capital Goods,Proposed Long-Term Bank Facility,CRISIL BBB,Stable
,,Letter of Credit Limit,CRISIL A3+,
,,Bank Guarantee limit,CRISIL A3+,
,,Foreign Bill Discounting,CRISIL A3+,
,,Export Packing Credit limits,CRISIL A3+,
,,Standby Line Of Credit,CRISIL A3+,
Wellbore Engineering Company,Machinery,Proposed Long-Term Bank Facility,CRISIL D,
,,Cash Credit Limit,CRISIL D,
,,Term Loan Facilities,CRISIL D,
,,Bank Guarantee limit,CRISIL D,
Wellcome Fisheries Limited,Food Products,Foreign Letter of Credit (LT),CRISIL BB+,Stable
,,Term Loan Facilities,CRISIL BB+,Stable
,,Foreign Discounting Bill Purchase,CRISIL A4+,
,,Import Letter of Credit Limit,CRISIL A4+,
,,Packing Credits,CRISIL A4+,
Wellcome Hospitals Private Limited,Health Care Providers & Services,Cash Credit Limit,CRISIL B,Stable
,,Term Loan Facilities,CRISIL B,Stable
Welldone Exim Private Limited,Distributors,Foreign Bill Purchase,CRISIL D,
,,Packing Credit,CRISIL D,
Welldone Infrastructure Private Limited,Construction & Engineering,Term Loan Facilities,#,
Wellknown Polyesters Limited,Textiles- Apparel & Luxury Goods,Buyers Credit,#,
