Company Name,Industry,Instrument,Rating,Outlook
XL Enterprises Limited,Engineering & Capital Goods,Packing Credits,#,
XL Laboratories Private Limited,Pharmaceuticals,Term Loan Facilities,CRISIL BBB-,Negative
,,Export Packing Credit,CRISIL BBB-,Negative
,,Cash Credit Limit,CRISIL BBB-,Negative
,,Proposed Long-Term Bank Facility,CRISIL BBB-,Negative
,,Proposed Term Loan,CRISIL BBB-,Negative
,,Bank Guarantee limit,CRISIL A3,
XO Pack Private Limited,Containers & Packaging,Cash Credit Limit,#,
,,Long Term Bank Loan,#,
,,Stand by Line of Credit,#,
Xindia Steels Limited,Metals & Mining,Proposed Long-Term Bank Facility,#,
,,Cash Credit Limit,#,
,,Proposed Cash Credit Limit,#,
,,Bank Guarantee limit,#,
,,Letter of Credit Limit,#,
Xmold Polymers Private Limited,Chemicals,Proposed Working Capital Facility,#,
,,Cash Credit Limit,#,
,,Long Term Bank Loan,#,
Xoriant Solutions Private Limited,IT Services,Proposed Long-Term Bank Facility,CRISIL BBB+,Stable
,,Foreign Bill Discounting,CRISIL A2,
Xplore Infrastructure Private Limited,Construction & Engineering,Cash Credit Limit,#,
Xplore Lifestyle Solutions Private Limited,Health Care Equipment & Supplies,Proposed Long-Term Bank Facility,CRISIL B,Stable
,,Cash Credit Limit,CRISIL B,Stable
Xplore-Tech Services Private Limited,IT Services,Foreign Currency Term Loan,CRISIL BBB,Stable
Xrbia Developers Limited,Real Estate Development,Proposed Long-Term Bank Facility,#,
,,Term Loan Facilities,#,
,,Bank Guarantee limit,#,
Xrbia Hinjewadi Developers Private Limited,Real Estate Development,Cash Credit Limit,#,
Xrbia North Hinjewadi Developers Private Limited,Real Estate Development,Term Loan Facilities,#,
Xrbia Warai Developers Private Limited,Real Estate Development,Proposed Long-Term Bank Facility,#,
Xtraa Cleancities Limited,Oil Gas & Consumable Fuels,Cash Credit Limit,#,
,,Long Term Bank Loan,#,
,,Packing Credits,#,
,,Letter of Credit Limit,#,
Xtranet Technologies Private Limited,Software,Long Term Bank Loan,CRISIL BB-,Stable
,,Cash Credit/ Overdraft facility,CRISIL BB-,Stable
,,Proposed Long-Term Bank Facility,CRISIL BB-,Stable
,,Bank Guarantee limit,CRISIL A4+,
