Company Name,Industry,Instrument,Rating,Outlook
Y and H Patel Finance Limited,Non Banking Financial Company,Cash Credit Limit,#,
Y. Mahabaleswarappa and Sons,Metals & Mining,Export Packing Credit limits,#,
Y. N. Dhanani,Construction & Engineering,Over Draft,#,
,,Bank Guarantee limit,#,
Y.M.R. Constructions,Construction & Engineering,Proposed Overdraft Facility,CRISIL B,Stable
,,Proposed Bank Guarantee ? Long-Term,CRISIL B,Stable
,,Proposed Long-Term Bank Facility,CRISIL B,Stable
,,Overdraft Facility,CRISIL A4,
,,Bank Guarantee limit,CRISIL A4,
Y.S.R.Spinning And Weaving Mills Private Limited,Engineering & Capital Goods,Term Loan Facilities,CRISIL B,Stable
,,Cash Credit Limit,CRISIL B,Stable
,,Proposed Cash Credit Limit,CRISIL B,Stable
,,Letter of Credit Limit,CRISIL A4,
YFC Projects Private Limited,Construction Materials,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
YG Realty Private Limited,Real Estate Development,Non Convertible Debenture(SO),CRISIL BBB+(SO),Stable
YP Foods Private Limited,Food Products,Term Loan Facilities,CRISIL B,Stable
,,Cash Credit Limit,CRISIL B,Stable
YRK Constructions,Construction & Engineering,Proposed Long-Term Bank Facility,CRISIL B+,Stable
,,Proposed Overdraft Facility,CRISIL B+,Stable
,,Secured Overdraft Facility,CRISIL B+,Stable
,,Bank Guarantee limit,CRISIL A4,
,,Proposed Bank Guarantee,CRISIL A4,
Ya Mohideen Andavar Modern Rice Mills,Food Products,Cash Credit Limit,#,
,,Long Term Bank Loan,#,
Yaaganti Seeds Private Limited,Food Products,Proposed Long-Term Bank Facility,#,
,,Cash Credit Limit,#,
Yadav Rice Mills,Food Products,Cash Credit Limit,CRISIL B+,Stable
Yadav Solvex Pvt. Ltd.,Food Products,Term Loan Facilities,CRISIL B,Stable
,,Cash Credit Limit,CRISIL B,Stable
Yak Granite Industries Private Limited,Building Products,Proposed Long-Term Bank Facility,CRISIL C,
,,Cash Credit Limit,CRISIL C,
,,Letter of Credit Limit,CRISIL A4,
,,Bank Guarantee limit,CRISIL A4,
Yama Enterprises Private Limited,Real Estate Development,Cash Credit Limit,#,
Yamai Fashions Private Limited,Engineering & Capital Goods,Packing Credits,CRISIL A2,
Yamir Packaging Private Limited,Containers & Packaging,Working Capital Term Loan,CRISIL BB-,Stable
,,Term Loan Facilities,CRISIL BB-,Stable
,,Proposed Long-Term Bank Facility,CRISIL BB-,Stable
,,Cash Credit Limit,CRISIL BB-,Stable
Yamuna Bio Energy Private Limited,Independent Power Producers & Energy Traders,Cash Credit Limit,CRISIL B+,Stable
,,Term Loan Facilities,CRISIL B+,Stable
,,Proposed Long-Term Bank Facility,CRISIL B+,Stable
Yamuna Cable Accessories Private Limited,Electrical Equipment,Term Loan Facilities,CRISIL BBB-,Stable
,,Cash Credit Limit,CRISIL BBB-,Stable
,,Stand by Letter of Credit,CRISIL BBB-,Stable
,,Letter of Credit Limit,CRISIL A3,
Yamuna Industries,Food Products,Cash Credit Limit,CRISIL BB-,Stable
Yamuna Industries Limited,Engineering & Capital Goods,Proposed Long-Term Bank Facility,CRISIL BB+,Stable
