Company Name,Industry,Instrument,Rating,Outlook
Z Fashions,Engineering & Capital Goods,Proposed Long-Term Bank Facility,CRISIL B+,Stable
,,Cash Credit Limit,CRISIL B+,Stable
,,Proposed Cash Credit Limit,CRISIL B+,Stable
Z V Steels Private Limited,Distributors,Cash Credit Limit,#,
Z-Square Shopping Mall Private Limited,Real Estate Development,Term Loan Facilities,#,
Z. A. Sea Foods Private Limited,Food Products,Proposed Long-Term Bank Facility,CRISIL BB+,Stable
,,Packing Credits,CRISIL A4+,
ZCL Chemicals Limited,Pharmaceuticals,Long Term Bank Loan,CRISIL A-,Stable
,,Cash Credit Limit,CRISIL A-,Stable
,,Foreign Currency Term Loan,CRISIL A-,Stable
,,Proposed Long-Term Bank Facility,CRISIL A-,Stable
,,Bank Guarantee limit,CRISIL A2+,
,,Letter of Credit Limit,CRISIL A2+,
,,Packing Credit in Foreign Currency,CRISIL A2+,
ZF Electronics Tvs India Private Limited,Auto Components,Term Loan Facilities,CRISIL B+,Stable
,,Cash Credit Limit,CRISIL B+,Stable
,,Export Packing Credit,CRISIL B+,Stable
,,Proposed Long-Term Bank Facility,CRISIL B+,Stable
,,Stand by Line of Credit,CRISIL B+,Stable
,,Letter of Credit Limit,CRISIL A4,
,,Bank Guarantee limit,CRISIL A4,
ZKL Bearings India Private Limited,Distributors,Cash Credit Limit,#,
,,Import Letter of Credit Limit,#,
Zagdu Singh Charitable Trust,Diversified Consumer Services,Over Draft,CRISIL A-,Stable
,,Proposed Long-Term Bank Facility,CRISIL A-,Stable
Zaibunco Industries Private Limited,Engineering & Capital Goods,Proposed Long-Term Bank Facility,CRISIL B,Stable
Foreign Bill Purchase,CRISIL BB+,Stable,,
Cash Credit Limit,CRISIL BB+,Stable,,
Term Loan Facilities,CRISIL BB+,Stable,,
Letter of Credit Limit,CRISIL A4+,,,
Packing Credits,CRISIL A4+,,,
Zambad Infrastructure Limited,Real Estate Development,Long Term Bank Loan,CRISIL B+,Stable
Zamindara Timber Pvt. Ltd.,Paper & Forest Products,Cash Credit Limit,CRISIL B+,Stable
,,Proposed Long-Term Bank Facility,CRISIL B+,Stable
,,Letter of Credit Limit,CRISIL A4,
Zarina Leather Exports,Engineering & Capital Goods,Proposed Long-Term Bank Facility,CRISIL B,Stable
,,Bill Discounting,CRISIL B,Stable
,,Cash Credit Limit,CRISIL B,Stable
,,Packing Credits,CRISIL A4,
Zaz Sons Exports Limited,Textiles- Apparel & Luxury Goods,Bill Purchase - Discounting,#,
,,Packing Credit,#,
,,Stand By Loan,#,
,,Letter of Credit Limit,#,
Zeal Medical Private Limited,Health Care Equipment & Supplies,Cash Credit Limit,#,
,,Bank Guarantee limit,#,
,,Letter of Credit Limit,#,
Zeal Silk Saree Impex Private Limited,Textiles- Apparel & Luxury Goods,Cash Credit Limit,#,
,,Letter of Credit Limit,#,
Zeal Tex Fashion Private Limited,Textiles- Apparel & Luxury Goods,Cash Credit Limit,#,
,,Proposed Long-Term Bank Facility,#,
,,Letter of Credit Limit,#,
Zedson Agro Private Limited,Food Products,Cash Credit Limit,CRISIL B+,Stable
,,Proposed Long-Term Bank Facility,CRISIL B+,Stable
,,Long Term Bank Loan,CRISIL B+,Stable
Zen Exim Private Limited,Computers & Peripherals,Cash Credit Limit,CRISIL B+,Stable
,,Stand by Letter of Credit,CRISIL B+,Stable
,,Buyers Credit,CRISIL B+,Stable
Zen Turnkey Solutions Private Limited,Construction & Engineering,Cash Credit Limit,CRISIL BB-,Stable
,,Term Loan Facilities,CRISIL BB-,Stable
,,Proposed Long-Term Bank Facility,CRISIL BB-,Stable
Zenith Apex Private Limited,Trading Companies & Distributors,Foreign Exchange Forwards,CRISIL A4+,
,,Packing Credit in Foreign Currency,CRISIL A4+,
Zenith Die Makers Private Limited,Containers & Packaging,Long Term Bank Loan,#,
,,Cash Credit Limit,#,
Zenith Drugs Private Limited,Pharmaceuticals,Term Loan Facilities,CRISIL BB-,Stable
,,Cash Credit Limit,CRISIL BB-,Stable
Zenith Industrial Rubber Products Private Limited,Auto Components,Cash Credit Limit,CRISIL BBB+,Stable
,,Export Packing Credit,CRISIL BBB+,Stable
,,External Commercial Borrowing,CRISIL BBB+,Stable
,,Stand by Line of Credit,CRISIL BBB+,Stable
,,Proposed Long-Term Bank Facility,CRISIL BBB+,Stable
,,Letter of Credit Limit,CRISIL A2,
Zenith Strips Limited,Metals & Mining,Cash Credit Limit,CRISIL BB-,Stable
Zenova Bio Nutrition Private Limited,Pharmaceuticals,Long Term Bank Loan,CRISIL D,
,,Cash Credit Limit,CRISIL D,
