Company Name,Industry,Instrument,Outlook,Rating
20 Microns Limited,Chemicals,Funded Interest Term Loan,Stable,CRISIL BB+
20 Microns Nano Minerals Limited,Chemicals,Term Loan Facilities,Stable,CRISIL BB+
2Getherments Infra Private Limited,Real Estate Development,Proposed Long-Term Bank Facility,Stable,CRISIL B
3D Technopack Limited,Containers & Packaging,Cash Credit Limit,Stable,CRISIL BB
4 Genius Minds,Trading Companies & Distributors,Cash Credit Limit,Stable,CRISIL B-
5 Core Acoustics Private Limited,Household Durables,Proposed Fund-Based Bank Limits,Stable,CRISIL BBB-
70 Microns,Chemicals,Cash Credit Limit,Stable,CRISIL B+
A AND J Microns Private Limited,Chemicals,Term Loan Facilities,Stable,CRISIL B
A B Convention,Hotels Restaurants & Leisure,Term Loan Facilities,Stable,CRISIL B
A B Equipments,Specialty Retail,Proposed Long-Term Bank Facility,Stable,CRISIL BB
A B Rolling Mills Private Limited,Metals & Mining,Secured Overdraft Facility,Stable,CRISIL BB
A B Sugars Limited,Food Products,Cash Credit Limit,Stable,CRISIL BBB
A B Wagh,Construction & Engineering,Proposed Cash Credit Limit,Stable,CRISIL BB-
A Balarama Raju,Construction & Engineering,Cash Credit Limit,Stable,CRISIL BB-
A D Electro Steel Co Private Limited,Metals & Mining,Cash Credit Limit,Stable,CRISIL B+
A E Infra Projects Private Limited,Construction & Engineering,Over Draft,Stable,CRISIL B+
A G Fats Private Limited,Food Products,Long Term Bank Loan,Stable,CRISIL BB
A J Packaging Limited,Containers & Packaging,Over Draft,Stable,CRISIL B
A K Das Associates Limited,Construction & Engineering,Cash Credit Limit,Stable,CRISIL BB-
A K Lumbers Limited,Distributors,Proposed Long-Term Bank Facility,Stable,CRISIL B
A K Shivhare Infrastructure Private Limited,Construction & Engineering,Cash Credit Limit,Stable,CRISIL BBB-
A Little World Private Limited,IT Services,Proposed Long-Term Bank Facility,Stable,CRISIL B
A Mahadevan and Co,Construction & Engineering,Cash Credit Limit,Stable,CRISIL BB+
A One Duty Free Private Limited,Distributors,Proposed Long-Term Bank Facility,Stable,CRISIL B+
A One Steel and Alloys Private Limited,Metals & Mining,Term Loan Facilities,Stable,CRISIL BB
A One Steels India Private Limited,Metals & Mining,Proposed Fund-Based Bank Limits,Stable,CRISIL BB+
A P Fashions Private Limited,Household Durables,Stand by Letter of Credit,Stable,CRISIL BB-
A P Organics Limited,Food Products,Term Loan Facilities,Stable,CRISIL BBB
A P Steel Re-Rolling Mill Limited,Metals & Mining,Proposed Long-Term Bank Facility,Stable,CRISIL B
A R C India Petroleum Private Limited,Chemicals,Cash Credit Limit,Stable,CRISIL B+
A R Constructions,Real Estate Development,Long Term Bank Loan,Stable,CRISIL B+
A R Polymers Private Limited,Engineering & Capital Goods,Cash Credit Limit,Stable,CRISIL BB
A R S Fabrics Private Limited,Engineering & Capital Goods,Term Loan Facilities,Stable,CRISIL B+
A R Sulphonates Private Limited,Chemicals,Fund & Non Fund Based Limits,Stable,CRISIL BBB
A S Chattha Exim Private Limited,Distributors,Cash Credit Limit,Stable,CRISIL B
A S Marine Industries Private Limited,Food Products,Long Term Bank Loan,Stable,CRISIL BB-
A S Pharma Pvt. Ltd.,Distributors,Cash Credit Limit,Stable,CRISIL BB
A TO Z Logistics Limited,Road & Rail,Cash Credit Limit,Stable,CRISIL B
A To Z Developers Limited,Real Estate Development,Term Loan Facilities,Stable,CRISIL BB-
A V Anjaneya Prasad,Independent Power Producers & Energy Traders,Long Term Bank Loan,Stable,CRISIL BB-
A V Rambabu Infra Private Limited,Construction & Engineering,Secured Overdraft Facility,Stable,CRISIL BB
A-1 Facility And Property Managers Private Limited,Commercial Services & Supplies,Cash Credit Limit,Stable,CRISIL BB
A-1 Heights AND Hospitality Private Limited,Hotels Restaurants & Leisure,Term Loan Facilities,Stable,CRISIL B
A-I Enterprises Private Limited,Engineering & Capital Goods,Long Term Bank Loan,Negative,CRISIL BB+
A-One Foot Arts Private Limited,Engineering & Capital Goods,Term Loan Facilities,Stable,CRISIL BB+
A-One Footwears Private Limited,Engineering & Capital Goods,Cash Credit Limit,Stable,CRISIL BB+
A. B. Kanisha Timbers,Paper & Forest Products,Cash Credit Limit,Stable,CRISIL B+
A. B. Pal Electricals Private Limited,Trading Companies & Distributors,Cash Credit Limit,Stable,CRISIL B+
A. B. Polypacks Private Limited,Containers & Packaging,Proposed Long-Term Bank Facility,Stable,CRISIL BB+
A. B. V. Govindu,Construction & Engineering,Cash Credit Limit,Stable,CRISIL B
A. D. Jeyaveerapandia Nadar and Bros (Nagapattinam),Food Products,Cash Credit Limit,Stable,CRISIL BB-
A. Duraisamy Modern Rice Mill,Food Products,Long Term Bank Loan,Stable,CRISIL BB-
A. G. Construction,Construction & Engineering,Cash Credit Limit,Stable,CRISIL BB+
A. Geeri Pai Gold and Diamonds,Engineering & Capital Goods,Long Term Bank Loan,Stable,CRISIL B
A. H. Alloys,Metals & Mining,Cash Credit Limit,Stable,CRISIL B
A. K. Ahamed Modern Rice Mill,Food Products,Cash Credit Limit,Stable,CRISIL B+
A. K. Enterprises - Biharsharif,Distributors,Cash Credit Limit,Stable,CRISIL B+
A. M. Mohammed Ali,Construction & Engineering,Cash Credit Limit,Stable,CRISIL BB-
A. M. R. Rathinasabapathy and Bros,Food Products,Cash Credit Limit,Stable,CRISIL BBB
A. N. R. Cotton Traders,Engineering & Capital Goods,Cash Credit Limit,Stable,CRISIL B
A. R. Chains,Engineering & Capital Goods,Cash Credit Limit,Stable,CRISIL B+
A. S. Betgeri,Construction & Engineering,Cash Credit Limit,Stable,CRISIL B+
A. S. Carriers Private Limited,Air Freight & Logistics,Lease Rental Discounting Loan,Stable,CRISIL BB+
A. S. Enterprise,Construction & Engineering,Cash Credit Limit,Stable,CRISIL BB
A. T. Exports,Engineering & Capital Goods,Foreign Bill Discounting Limit,Stable,CRISIL B
A.A. Autotech Private Limited,Auto Components,Proposed Long-Term Bank Facility,Positive,CRISIL A
A.B. Rice Mills,Food Products,Cash Credit Limit,Stable,CRISIL BB-
A.G. Babu Sah,Specialty Retail,Cash Credit Limit,Stable,CRISIL B
A.G. Rice Mills,Food Products,Cash Credit Limit,Stable,CRISIL B+
A.K.Spintex Limited,Engineering & Capital Goods,Term Loan Facilities,Stable,CRISIL BB+
A.Kishore,Construction & Engineering,Over Draft,Stable,CRISIL B
A.M. Fisheries,Food Products,Long Term Bank Loan,Stable,CRISIL BB-
A.M. Kanniappa Mudaliar AND A.M.K. Jambulinga Mudaliar Educational Trust,Diversified Consumer Services,Cash Credit Limit,Stable,CRISIL BB
A.N.E. Industries Private Limited,Oil Gas & Consumable Fuels,Proposed Long-Term Bank Facility,Stable,CRISIL B
A.P.I. Civilcon Private Limited,Construction & Engineering,Cash Credit Limit,Stable,CRISIL BB+
A.R. Thermosets Private Limited,Construction Materials,Cash Credit Limit,Stable,CRISIL BB
A.R.R. Foods And Consumer Products Private Limited,Distributors,Cash Credit Limit,Stable,CRISIL BB
A.R.T. Fabrication Industries Private Limited,Machinery,Cash Credit Limit,Stable,CRISIL B+
A.S. Emporium,Distributors,Cash Credit Limit,Stable,CRISIL B+
A.S. Shipping Agencies Private Limited,Air Freight & Logistics,Long Term Bank Loan,Stable,CRISIL BBB-
A.S. Steel Traders,Distributors,Cash Credit Limit,Stable,CRISIL BB-
A.S.Cargo Movers Private Limited,Air Freight & Logistics,Lease Rental Discounting Loan,Stable,CRISIL B+
A.T. Trade Overseas Private Limited,Distributors,Letter of Credit (LC),Stable,CRISIL BBB-
A.T.E. Enterprises Private Limited,Machinery,Long Term Bank Loan,Stable,CRISIL BBB-
