Count,Sr.No.,Instrument,Company Name,Intial Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date,Rating,Date
1,1,BLR,24/7 Customer Private Limited,CARE BBB+,17-04-12,CARE BBB+; INC,22-03-17,,,,,,,,,,,,,,,,,,
2,2,BLR,24/7 Customer Private Limited,CARE BBB+ / CARE A3+,28-04-15,CARE BBB+ / CARE A3+; INC,22-03-17,,,,,,,,,,,,,,,,,,
3,3,BLR,24/7 Customer Private Limited,CARE A3+,17-04-12,CARE A3+; INC,22-03-17,,,,,,,,,,,,,,,,,,
4,4,BLR,3B Binani GlassFibre SARL,CARE BB,26-06-15,CARE BB; Stable,11-08-17,,,,,,,,,,,,,,,,,,
5,5,BLR,3B Fibreglass Norway AS,CARE BB,26-06-15,CARE BB; Stable,11-08-17,,,,,,,,,,,,,,,,,,
6,6,BLR,3B Fibreglass SPRL,CARE BB+,02-07-13,CARE BB,05-09-14,CARE BB; Stable,11-08-17,,,,,,,,,,,,,,,,
7,7,BLR,3F Industries Limited,CARE A-,07-11-11,CARE BBB+,08-01-13,CARE BBB+; Stable,27-12-17,,,,,,,,,,,,,,,,
8,8,BLR,3F Industries Limited,CARE A-,01-11-11,CARE BBB+,08-01-13,CARE BBB+; Stable,27-12-17,,,,,,,,,,,,,,,,
9,9,BLR,3F Industries Limited,CARE A2,06-01-15,,,,,,,,,,,,,,,,,,,,
10,10,BLR,3F Industries Limited,CARE A2,06-01-15,,,,,,,,,,,,,,,,,,,,
11,11,BLR,3F Industries Limited,CARE A2+,07-11-11,CARE A2,08-01-13,,,,,,,,,,,,,,,,,,
12,12,BLR,3F Industries Limited,CARE A2,20-11-15,,,,,,,,,,,,,,,,,,,,
13,13,BLR,3F Industries Limited,CARE BBB+ / CARE A2,06-01-15,CARE BBB+; Stable / CARE A2,27-12-17,,,,,,,,,,,,,,,,,,
14,14,MT Instruments,3F Industries Limited,CARE BBB+ (FD),17-06-14,CARE BBB+; Stable,27-12-17,,,,,,,,,,,,,,,,,,
15,15,BLR,3F Oil Palm Agrotech Private Limited,CARE A- (SO),24-11-11,CARE BBB+,08-01-13,CARE BBB,17-10-14,CARE BBB; Stable,12-01-17,,,,,,,,,,,,,,
16,16,BLR,3F Oil Palm Agrotech Private Limited,CARE A- (SO),24-11-11,CARE BBB+ (SO),08-01-13,CARE BBB,17-10-14,CARE BBB; Stable,12-01-17,,,,,,,,,,,,,,
