"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rating,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,Date of,Rating,Date of,Rating,Date of,Rating,Date of,Rating,Date of,Rating,Date of,Rating,Date of,Rating,Date of,Rating,Date of,Rating,Date of,Rating,Date of,Rating,Date of,Rating,,Rating,Date of,Rating,Date of,Rating,Date of,Rating,Date of,Rating,Date of,Rating,Date of,Rating,Date of,Rating Date of,,Rating,Date of,Rating,Date of,Rating,Date of,Rating,Date of,Rating,Date of,Rating,Date of,Rating,Date of,Rating,Date of,Rating,Date of,,Date of,Rating,Date of,Rating,Date of,Rating,Date of
"",,,,Rating after 1st,Date of 1st,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Date of 24th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,after,,,,,,,
l. No.,Name of the Issuer,Initial Rating,Date of Initial Rating DD/MM/YY,,,Rating after 2nd revision,Date of 2nd revision,Rating after 3rd revision,Date of 3rd revision,Rating after 4th revision,Date of 4th revision,Rating after 5th revision,Date of 5th revision,Rating after 6th revision,Date of 6th revision,Rating after 7th revision,Date of 7th revision,Rating after 8th revision,Date of 8th revision,Rating after 9th revision,Date of 9th revision,Rating after 10th revision,Date of 10th revision,Rating after 11th revision,Date of 11th revision,Rating after 12th revision,12th,after 13th,13th,after 14th,14th,after 15th,15th,after 16th,16th,after 17th,17th,after 18th,18th,after 19th,19th,after 20th,20th,after 21st,21st,after 22nd,22nd,after 23rd,23rd,after 24th,,after 25th,25th,after 26th,26th,after 27th,27th,after 28th,28th,after 29th,29th,after 30th,30th,after 31st,31st,after 32nd 32nd,,after 33rd,33rd,after 34th,34th,after 35th,35th,after 36th,36th,after 37th,37th,after 38th,38th,after 39th,39th,after 40th,40th,after 41st,41st,,42nd,after 43rd,43rd,after 44th,44th,after 45th,45th
"",,,,revision,revision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,revision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42nd,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,revision,revision,revision,revision,revision,revision,revision,revision,revision,revision,revision,revision,revision,revision,revision,revision,revision,revision,revision,revision,revision,revision,revision,revision,,revision,revision,revision,revision,revision,revision,revision,revision,revision,revision,revision,revision,revision,revision,revision revision,,revision,revision,revision,revision,revision,revision,revision,revision,revision,revision,revision,revision,revision,revision,revision,revision,revision,revision,,revision,revision,revision,revision,revision,revision,revision
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,revision,,,,,,,
1,20 Microns Nano Minerals Limited,[ICRA]BB+(SO),30/01/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20 Microns Nano Minerals Limited,[ICRA]BB+(SO),30/01/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,24/7 Customer Pvt Ltd,[ICRA]A-,8/6/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3B Films Pvt. Ltd.,[ICRA]B,10/5/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3B Films Pvt. Ltd.,[ICRA]B,10/5/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3D Plm Software Solutions Limited,[ICRA]AA,16/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3Forks Hospitality Private Limited,[ICRA]B+,24/02/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3Forks Hospitality Private Limited,[ICRA]B+,24/02/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4 Genius Minds,[ICRA]B+,6/1/2016,[ICRA]BB-,22/06/2016,[ICRA]BB,12/4/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,4 Genius Minds,[ICRA]BB,12/4/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,4S Spintex India Private Limited,[ICRA]B,2/4/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
